ctau[mm], efficiency
530.84615384615387, 0.000006514657980453975
1030.84615384615381, 0.00029967426710097306
1510.92307692307696, 0.002410423452768727
2000, 0.004697068403908794
3000, 0.009270358306188924
4000, 0.012495114006514658
5000, 0.014136807817589577
7000.0000000000001, 0.01050162866449511
9000.0000000000001, 0.008801302931596092
11960.1538461538462, 0.006866449511400651
14960.1538461538462, 0.005283387622149836
19960.1538461538466, 0.0033485342019543944
