# dm10[GeV],Efficiency
5.000000000000000000e+01,7.086698964928223477e-04
6.985829959514170184e+01,4.996122770274383749e-03
8.989878542510120951e+01,7.228432944226762663e-03
1.101214574898785372e+02,8.893807200984890290e-03
1.400000000000000000e+02,6.129994604662893261e-03
