# m1,m0,ms,tau,lambdauv,chxx10,ychi1,ychi10,sina,eff,efferror
1.244e+02,7.437e+01,2.500e+02,3.272e-09,1.084e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.530e-05,1.530e-05
1.244e+02,7.437e+01,2.500e+02,1.636e-08,2.424e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.930e-04,1.033e-04
1.244e+02,7.437e+01,2.500e+02,3.272e-08,3.428e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.119e-03,1.309e-04
1.244e+02,7.437e+01,2.500e+02,6.544e-08,4.848e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.519e-04,1.209e-04
1.244e+02,7.437e+01,2.500e+02,1.309e-07,6.856e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,7.197e-04,1.050e-04
1.225e+02,7.247e+01,2.500e+02,3.260e-09,1.075e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,0.000e+00,0.000e+00
1.225e+02,7.247e+01,2.500e+02,1.630e-08,2.405e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.729e-04,1.014e-04
1.225e+02,7.247e+01,2.500e+02,3.260e-08,3.401e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.505e-04,1.207e-04
1.225e+02,7.247e+01,2.500e+02,6.521e-08,4.810e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.517e-04,1.209e-04
4.899e+02,2.899e+02,1.000e+03,1.334e-07,3.770e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.692e-03,1.363e-04
9.950e+02,7.950e+02,2.000e+03,3.336e-09,7.276e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,0.000e+00,0.000e+00
9.950e+02,7.950e+02,2.000e+03,1.668e-08,1.627e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.163e-03,1.045e-04
9.950e+02,7.950e+02,2.000e+03,3.336e-08,2.301e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.865e-03,1.322e-04
9.950e+02,7.950e+02,2.000e+03,6.671e-08,3.254e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.569e-03,1.210e-04
