# m1,m0,ms,tau,m2,lambdauv,chxx10,ychi20,ychi21,sina,eff,efferror
1.458e+02,9.578e+01,3.000e+02,3.337e-09,1.528e+02,1.163e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
1.458e+02,9.578e+01,3.000e+02,6.675e-09,1.528e+02,1.645e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
1.458e+02,9.578e+01,3.000e+02,1.335e-08,1.528e+02,2.326e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.646e-04,7.637e-05
1.458e+02,9.578e+01,3.000e+02,2.670e-08,1.528e+02,3.290e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.147e-03,1.590e-04
1.458e+02,9.578e+01,3.000e+02,4.005e-08,1.528e+02,4.029e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.659e-04,1.386e-04
1.458e+02,9.578e+01,3.000e+02,5.340e-08,1.528e+02,4.653e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.552e-04,1.457e-04
1.458e+02,9.578e+01,3.000e+02,6.675e-08,1.528e+02,5.202e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.603e-04,1.378e-04
1.419e+02,9.195e+01,3.000e+02,3.335e-09,1.489e+02,1.152e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
1.419e+02,9.195e+01,3.000e+02,6.670e-09,1.489e+02,1.630e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.400e-05,3.111e-05
4.808e+02,3.808e+02,1.000e+03,6.670e-09,4.878e+02,1.747e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.466e-04,6.367e-05
4.808e+02,3.808e+02,1.000e+03,1.334e-08,4.878e+02,2.470e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.946e-03,1.791e-04
4.808e+02,3.808e+02,1.000e+03,2.668e-08,4.878e+02,3.494e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.850e-03,2.517e-04
4.808e+02,3.808e+02,1.000e+03,4.002e-08,4.878e+02,4.279e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.259e-03,2.646e-04
4.808e+02,3.808e+02,1.000e+03,5.336e-08,4.878e+02,4.941e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.336e-03,2.341e-04
4.808e+02,3.808e+02,1.000e+03,6.670e-08,4.878e+02,5.524e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.286e-03,2.323e-04
4.304e+02,3.804e+02,1.000e+03,3.334e-09,4.374e+02,1.425e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
4.304e+02,3.804e+02,1.000e+03,6.669e-09,4.374e+02,2.016e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.912e-05,2.836e-05
4.304e+02,3.804e+02,1.000e+03,1.334e-08,4.374e+02,2.850e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.472e-04,4.907e-05
4.304e+02,3.804e+02,1.000e+03,2.668e-08,4.374e+02,4.031e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.771e-04,6.720e-05
1.419e+02,9.195e+01,3.000e+02,1.334e-08,1.489e+02,2.305e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,5.881e-04,1.132e-04
4.304e+02,3.804e+02,1.000e+03,4.001e-08,4.374e+02,4.937e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.091e-04,7.092e-05
4.304e+02,3.804e+02,1.000e+03,5.335e-08,4.374e+02,5.701e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.284e-04,6.105e-05
4.304e+02,3.804e+02,1.000e+03,6.669e-08,4.374e+02,6.374e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.953e-04,5.637e-05
4.304e+02,3.304e+02,1.000e+03,3.335e-09,4.374e+02,1.210e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
4.304e+02,3.304e+02,1.000e+03,6.670e-09,4.374e+02,1.710e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,6.522e-05,3.261e-05
4.304e+02,3.304e+02,1.000e+03,1.334e-08,4.374e+02,2.419e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.401e-04,8.470e-05
