# m1,m0,ms,tau,lambdauv,chxx10,ychi1,ychi10,sina,eff,efferror
1.244e+02,7.437e+01,2.500e+02,3.272e-09,1.084e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.534e-05,1.534e-05
1.244e+02,7.437e+01,2.500e+02,1.636e-08,2.424e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,7.417e-04,1.071e-04
1.244e+02,7.437e+01,2.500e+02,3.272e-08,3.428e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.707e-04,1.223e-04
1.244e+02,7.437e+01,2.500e+02,6.544e-08,4.848e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.461e-03,1.499e-04
1.244e+02,7.437e+01,2.500e+02,1.309e-07,6.856e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.003e-04,1.110e-04
1.225e+02,7.247e+01,2.500e+02,3.260e-09,1.075e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,0.000e+00,0.000e+00
1.225e+02,7.247e+01,2.500e+02,1.630e-08,2.405e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.724e-04,1.014e-04
1.225e+02,7.247e+01,2.500e+02,3.260e-08,3.401e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.036e-03,1.257e-04
1.225e+02,7.247e+01,2.500e+02,6.521e-08,4.810e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,7.992e-04,1.108e-04
4.899e+02,2.899e+02,1.000e+03,1.334e-07,3.770e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.768e-03,1.393e-04
9.950e+02,7.950e+02,2.000e+03,3.336e-09,7.276e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,0.000e+00,0.000e+00
9.950e+02,7.950e+02,2.000e+03,1.668e-08,1.627e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.068e-03,1.000e-04
9.950e+02,7.950e+02,2.000e+03,3.336e-08,2.301e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.934e-03,1.347e-04
9.950e+02,7.950e+02,2.000e+03,6.671e-08,3.254e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.383e-03,1.137e-04
9.950e+02,7.950e+02,2.000e+03,1.334e-07,4.602e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.002e-03,9.690e-05
9.798e+02,7.798e+02,2.000e+03,3.335e-09,7.256e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,0.000e+00,0.000e+00
9.798e+02,7.798e+02,2.000e+03,1.668e-08,1.623e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.037e-03,9.846e-05
9.798e+02,7.798e+02,2.000e+03,3.335e-08,2.295e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.795e-03,1.295e-04
