# m1,m0,ms,tau,m2,lambdauv,chxx10,ychi20,ychi21,sina,eff,efferror
1.194e+02,7.437e+01,2.500e+02,5.618e-09,1.244e+02,1.084e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
1.194e+02,7.437e+01,2.500e+02,2.809e-08,1.244e+02,2.424e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.059e-04,6.862e-05
1.194e+02,7.437e+01,2.500e+02,5.618e-08,1.244e+02,3.428e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.833e-04,6.479e-05
1.194e+02,7.437e+01,2.500e+02,1.124e-07,1.244e+02,4.848e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,6.925e-05,3.998e-05
1.194e+02,7.437e+01,2.500e+02,2.247e-07,1.244e+02,6.856e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,6.904e-05,3.986e-05
1.175e+02,7.247e+01,2.500e+02,5.624e-09,1.225e+02,1.075e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.297e-05,2.297e-05
1.175e+02,7.247e+01,2.500e+02,2.812e-08,1.225e+02,2.405e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.226e-04,8.622e-05
1.175e+02,7.247e+01,2.500e+02,5.624e-08,1.225e+02,3.401e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,6.919e-05,3.995e-05
1.175e+02,7.247e+01,2.500e+02,1.125e-07,1.225e+02,4.810e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,6.888e-05,3.977e-05
4.849e+02,2.899e+02,1.000e+03,1.377e-07,4.899e+02,3.770e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.399e-04,1.103e-04
9.900e+02,7.950e+02,2.000e+03,3.456e-09,9.950e+02,7.276e+09,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
9.900e+02,7.950e+02,2.000e+03,1.728e-08,9.950e+02,1.627e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.647e-04,7.151e-05
9.900e+02,7.950e+02,2.000e+03,3.456e-08,9.950e+02,2.301e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,6.582e-04,9.600e-05
9.900e+02,7.950e+02,2.000e+03,6.913e-08,9.950e+02,3.254e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.635e-04,8.068e-05
9.900e+02,7.950e+02,2.000e+03,1.383e-07,9.950e+02,4.602e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.917e-04,7.403e-05
9.748e+02,7.798e+02,2.000e+03,3.456e-09,9.798e+02,7.256e+09,1.000e-01,1.000e-01,1.500e+00,2.000e-01,0.000e+00,0.000e+00
9.748e+02,7.798e+02,2.000e+03,1.728e-08,9.798e+02,1.623e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,5.445e-04,8.719e-05
9.748e+02,7.798e+02,2.000e+03,3.456e-08,9.798e+02,2.295e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,5.450e-04,8.726e-05
9.748e+02,7.798e+02,2.000e+03,6.912e-08,9.798e+02,3.245e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.050e-04,7.521e-05
1.175e+02,7.247e+01,2.500e+02,2.250e-07,1.225e+02,6.802e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.375e-04,5.614e-05
9.748e+02,7.798e+02,2.000e+03,1.382e-07,9.798e+02,4.589e+10,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.227e-04,6.729e-05
2.437e+02,1.987e+02,5.000e+02,5.816e-09,2.487e+02,1.323e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.940e-05,1.940e-05
2.437e+02,1.987e+02,5.000e+02,2.908e-08,2.487e+02,2.959e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,5.217e-04,1.004e-04
2.437e+02,1.987e+02,5.000e+02,5.816e-08,2.487e+02,4.185e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,5.408e-04,1.022e-04
2.437e+02,1.987e+02,5.000e+02,1.163e-07,2.487e+02,5.918e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.129e-04,6.419e-05
2.437e+02,1.987e+02,5.000e+02,2.326e-07,2.487e+02,8.370e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.354e-04,5.119e-05
2.399e+02,1.949e+02,5.000e+02,5.823e-09,2.449e+02,1.320e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.934e-05,1.934e-05
2.399e+02,1.949e+02,5.000e+02,2.911e-08,2.449e+02,2.952e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.251e-04,9.063e-05
2.399e+02,1.949e+02,5.000e+02,5.823e-08,2.449e+02,4.175e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,4.034e-04,8.803e-05
2.399e+02,1.949e+02,5.000e+02,1.165e-07,2.449e+02,5.905e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.457e-04,8.148e-05
2.399e+02,1.949e+02,5.000e+02,2.329e-07,2.449e+02,8.351e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.926e-04,6.092e-05
4.925e+02,4.475e+02,1.000e+03,5.951e-09,4.975e+02,1.441e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,1.656e-05,1.656e-05
