# m1,m0,ms,tau,lambdauv,chxx10,ychi1,ychi10,sina,eff,efferror
4.899e+02,4.399e+02,1.000e+03,1.331e-07,9.100e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.046e-02,5.785e-04
9.950e+02,9.450e+02,2.000e+03,3.335e-09,1.500e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.878e-02,6.022e-04
9.950e+02,9.450e+02,2.000e+03,1.667e-08,3.354e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.241e-01,1.078e-03
9.950e+02,9.450e+02,2.000e+03,3.335e-08,4.744e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.016e-01,9.739e-04
9.950e+02,9.450e+02,2.000e+03,6.670e-08,6.709e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.622e-02,7.867e-04
9.950e+02,9.450e+02,2.000e+03,1.334e-07,9.488e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.938e-02,6.071e-04
9.798e+02,9.298e+02,2.000e+03,3.343e-09,1.499e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.704e-02,5.880e-04
9.798e+02,9.298e+02,2.000e+03,1.672e-08,3.352e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.218e-01,1.066e-03
9.798e+02,9.298e+02,2.000e+03,3.343e-08,4.741e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.872e-02,9.600e-04
9.798e+02,9.298e+02,2.000e+03,6.687e-08,6.704e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.591e-02,7.848e-04
9.798e+02,9.298e+02,2.000e+03,1.337e-07,9.481e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.868e-02,6.011e-04
1.244e+02,2.437e+01,2.500e+02,3.288e-09,5.189e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,2.755e-02,6.494e-04
1.244e+02,2.437e+01,2.500e+02,1.644e-08,1.160e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.366e-02,9.891e-04
1.244e+02,2.437e+01,2.500e+02,3.288e-08,1.641e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.346e-02,9.096e-04
1.244e+02,2.437e+01,2.500e+02,6.577e-08,2.321e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.826e-02,7.684e-04
1.244e+02,2.437e+01,2.500e+02,1.315e-07,3.282e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,2.368e-02,6.034e-04
1.225e+02,2.247e+01,2.500e+02,3.252e-09,5.005e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.863e-02,5.329e-04
1.225e+02,2.247e+01,2.500e+02,1.626e-08,1.119e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.233e-02,9.778e-04
1.225e+02,2.247e+01,2.500e+02,3.252e-08,1.583e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.671e-02,9.305e-04
1.225e+02,2.247e+01,2.500e+02,6.504e-08,2.238e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.051e-02,7.860e-04
1.225e+02,2.247e+01,2.500e+02,1.301e-07,3.165e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,2.411e-02,6.059e-04
2.487e+02,1.487e+02,5.000e+02,3.326e-09,1.015e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.302e-02,8.310e-04
2.487e+02,1.487e+02,5.000e+02,1.663e-08,2.269e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.124e-01,1.208e-03
2.487e+02,1.487e+02,5.000e+02,3.326e-08,3.209e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.815e-02,1.071e-03
2.487e+02,1.487e+02,5.000e+02,6.652e-08,4.538e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.666e-02,8.586e-04
2.487e+02,1.487e+02,5.000e+02,1.330e-07,6.417e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.281e-02,6.535e-04
2.449e+02,1.449e+02,5.000e+02,3.624e-09,1.051e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.415e-02,6.625e-04
2.449e+02,1.449e+02,5.000e+02,1.812e-08,2.350e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.382e-02,1.037e-03
2.449e+02,1.449e+02,5.000e+02,3.624e-08,3.323e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,7.083e-02,9.527e-04
2.449e+02,1.449e+02,5.000e+02,7.249e-08,4.700e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.806e-02,7.841e-04
2.449e+02,1.449e+02,5.000e+02,1.450e-07,6.647e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,2.832e-02,6.043e-04
4.975e+02,3.975e+02,1.000e+03,3.334e-09,1.240e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.170e-02,7.566e-04
4.975e+02,3.975e+02,1.000e+03,1.667e-08,2.774e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.324e-01,1.209e-03
4.975e+02,3.975e+02,1.000e+03,3.334e-08,3.923e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.057e-01,1.083e-03
4.975e+02,3.975e+02,1.000e+03,6.667e-08,5.547e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.975e-02,8.790e-04
4.975e+02,3.975e+02,1.000e+03,1.333e-07,7.845e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.071e-02,6.710e-04
4.899e+02,3.899e+02,1.000e+03,3.319e-09,1.235e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.999e-02,6.632e-04
4.899e+02,3.899e+02,1.000e+03,1.660e-08,2.761e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.154e-01,1.128e-03
4.899e+02,3.899e+02,1.000e+03,3.319e-08,3.904e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,9.841e-02,1.040e-03
4.899e+02,3.899e+02,1.000e+03,6.639e-08,5.522e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,6.834e-02,8.681e-04
4.899e+02,3.899e+02,1.000e+03,1.328e-07,7.809e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.992e-02,6.615e-04
9.950e+02,8.950e+02,2.000e+03,3.335e-09,1.346e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.378e-02,6.390e-04
9.950e+02,8.950e+02,2.000e+03,1.668e-08,3.009e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.513e-01,1.189e-03
9.950e+02,8.950e+02,2.000e+03,3.335e-08,4.255e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.242e-01,1.078e-03
9.950e+02,8.950e+02,2.000e+03,6.671e-08,6.018e+07,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.273e-02,8.797e-04
