# Values for variable: $\Delta \phi (b_2,\bar{b}_2)$ (Parton Level)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
1.5867e-02,0.0000e+00,3.1733e-02,3.6282e-03,3.0555e-04
4.7600e-02,3.1733e-02,6.3467e-02,3.7054e-03,3.0878e-04
7.9333e-02,6.3467e-02,9.5200e-02,3.8083e-03,3.1304e-04
1.1107e-01,9.5200e-02,1.2693e-01,2.8563e-03,2.7110e-04
1.4280e-01,1.2693e-01,1.5867e-01,3.9113e-03,3.1725e-04
1.7453e-01,1.5867e-01,1.9040e-01,3.6797e-03,3.0771e-04
2.0627e-01,1.9040e-01,2.2213e-01,3.7569e-03,3.1092e-04
2.3800e-01,2.2213e-01,2.5387e-01,3.8598e-03,3.1515e-04
2.6973e-01,2.5387e-01,2.8560e-01,3.8083e-03,3.1304e-04
3.0147e-01,2.8560e-01,3.1733e-01,4.1943e-03,3.2853e-04
3.3320e-01,3.1733e-01,3.4907e-01,3.8598e-03,3.1515e-04
3.6493e-01,3.4907e-01,3.8080e-01,3.7569e-03,3.1092e-04
3.9667e-01,3.8080e-01,4.1253e-01,4.9406e-03,3.5655e-04
4.2840e-01,4.1253e-01,4.4427e-01,4.0657e-03,3.2345e-04
4.6013e-01,4.4427e-01,4.7600e-01,4.4516e-03,3.3845e-04
4.9187e-01,4.7600e-01,5.0773e-01,4.3230e-03,3.3353e-04
5.2360e-01,5.0773e-01,5.3947e-01,4.4516e-03,3.3845e-04
5.5533e-01,5.3947e-01,5.7120e-01,4.7090e-03,3.4810e-04
5.8707e-01,5.7120e-01,6.0293e-01,4.8891e-03,3.5469e-04
6.1880e-01,6.0293e-01,6.3467e-01,4.3745e-03,3.3551e-04
6.5053e-01,6.3467e-01,6.6640e-01,4.1429e-03,3.2650e-04
6.8227e-01,6.6640e-01,6.9813e-01,5.7640e-03,3.8512e-04
7.1400e-01,6.9813e-01,7.2986e-01,4.9663e-03,3.5748e-04
7.4573e-01,7.2986e-01,7.6160e-01,5.6096e-03,3.7993e-04
7.7746e-01,7.6160e-01,7.9333e-01,5.5324e-03,3.7731e-04
8.0920e-01,7.9333e-01,8.2506e-01,5.7125e-03,3.8340e-04
8.4093e-01,8.2506e-01,8.5680e-01,5.4809e-03,3.7555e-04
8.7266e-01,8.5680e-01,8.8853e-01,6.2014e-03,3.9947e-04
9.0440e-01,8.8853e-01,9.2026e-01,5.3780e-03,3.7200e-04
9.3613e-01,9.2026e-01,9.5200e-01,5.7383e-03,3.8426e-04
9.6786e-01,9.5200e-01,9.8373e-01,5.6611e-03,3.8167e-04
9.9960e-01,9.8373e-01,1.0155e+00,5.8412e-03,3.8769e-04
1.0313e+00,1.0155e+00,1.0472e+00,6.4330e-03,4.0686e-04
1.0631e+00,1.0472e+00,1.0789e+00,5.8926e-03,3.8940e-04
1.0948e+00,1.0789e+00,1.1107e+00,6.4330e-03,4.0686e-04
1.1265e+00,1.1107e+00,1.1424e+00,6.5359e-03,4.1010e-04
1.1583e+00,1.1424e+00,1.1741e+00,6.7418e-03,4.1651e-04
1.1900e+00,1.1741e+00,1.2059e+00,7.2822e-03,4.3288e-04
1.2217e+00,1.2059e+00,1.2376e+00,7.1792e-03,4.2981e-04
1.2535e+00,1.2376e+00,1.2693e+00,6.8705e-03,4.2047e-04
1.2852e+00,1.2693e+00,1.3011e+00,7.2822e-03,4.3288e-04
1.3169e+00,1.3011e+00,1.3328e+00,7.4623e-03,4.3820e-04
1.3487e+00,1.3328e+00,1.3645e+00,7.3851e-03,4.3593e-04
1.3804e+00,1.3645e+00,1.3963e+00,7.6424e-03,4.4346e-04
1.4121e+00,1.3963e+00,1.4280e+00,7.6682e-03,4.4420e-04
1.4439e+00,1.4280e+00,1.4597e+00,8.0284e-03,4.5452e-04
1.4756e+00,1.4597e+00,1.4915e+00,8.9805e-03,4.8071e-04
1.5073e+00,1.4915e+00,1.5232e+00,8.8518e-03,4.7726e-04
1.5391e+00,1.5232e+00,1.5549e+00,8.8518e-03,4.7726e-04
1.5708e+00,1.5549e+00,1.5867e+00,9.9840e-03,5.0686e-04
1.6025e+00,1.5867e+00,1.6184e+00,9.6495e-03,4.9830e-04
1.6343e+00,1.6184e+00,1.6501e+00,9.5723e-03,4.9630e-04
1.6660e+00,1.6501e+00,1.6819e+00,9.2121e-03,4.8687e-04
1.6977e+00,1.6819e+00,1.7136e+00,1.0550e-02,5.2103e-04
1.7295e+00,1.7136e+00,1.7453e+00,1.0550e-02,5.2103e-04
1.7612e+00,1.7453e+00,1.7771e+00,1.0344e-02,5.1593e-04
1.7929e+00,1.7771e+00,1.8088e+00,1.1219e-02,5.3730e-04
1.8247e+00,1.8088e+00,1.8405e+00,1.0087e-02,5.0947e-04
1.8564e+00,1.8405e+00,1.8723e+00,1.0602e-02,5.2230e-04
1.8881e+00,1.8723e+00,1.9040e+00,1.1039e-02,5.3297e-04
1.9199e+00,1.9040e+00,1.9357e+00,1.1888e-02,5.5309e-04
1.9516e+00,1.9357e+00,1.9675e+00,1.2403e-02,5.6493e-04
1.9833e+00,1.9675e+00,1.9992e+00,1.1708e-02,5.4888e-04
2.0151e+00,1.9992e+00,2.0309e+00,1.2609e-02,5.6960e-04
2.0468e+00,2.0309e+00,2.0627e+00,1.3381e-02,5.8678e-04
2.0785e+00,2.0627e+00,2.0944e+00,1.2120e-02,5.5845e-04
2.1103e+00,2.0944e+00,2.1261e+00,1.4642e-02,6.1381e-04
2.1420e+00,2.1261e+00,2.1579e+00,1.3046e-02,5.7940e-04
2.1737e+00,2.1579e+00,2.1896e+00,1.3046e-02,5.7940e-04
2.2055e+00,2.1896e+00,2.2213e+00,1.4153e-02,6.0347e-04
2.2372e+00,2.2213e+00,2.2531e+00,1.3895e-02,5.9796e-04
2.2689e+00,2.2531e+00,2.2848e+00,1.4667e-02,6.1434e-04
2.3007e+00,2.2848e+00,2.3165e+00,1.3226e-02,5.8339e-04
2.3324e+00,2.3165e+00,2.3483e+00,1.5208e-02,6.2556e-04
2.3641e+00,2.3483e+00,2.3800e+00,1.3278e-02,5.8452e-04
2.3959e+00,2.3800e+00,2.4117e+00,1.4822e-02,6.1757e-04
2.4276e+00,2.4117e+00,2.4435e+00,1.5722e-02,6.3606e-04
2.4593e+00,2.4435e+00,2.4752e+00,1.5156e-02,6.2450e-04
2.4911e+00,2.4752e+00,2.5069e+00,1.7292e-02,6.6705e-04
2.5228e+00,2.5069e+00,2.5387e+00,1.6443e-02,6.5047e-04
2.5545e+00,2.5387e+00,2.5704e+00,1.6366e-02,6.4894e-04
2.5863e+00,2.5704e+00,2.6021e+00,1.6880e-02,6.5906e-04
2.6180e+00,2.6021e+00,2.6339e+00,1.7781e-02,6.7642e-04
2.6497e+00,2.6339e+00,2.6656e+00,1.6906e-02,6.5956e-04
2.6815e+00,2.6656e+00,2.6973e+00,1.7601e-02,6.7298e-04
2.7132e+00,2.6973e+00,2.7291e+00,1.7755e-02,6.7593e-04
2.7449e+00,2.7291e+00,2.7608e+00,1.6571e-02,6.5301e-04
2.7767e+00,2.7608e+00,2.7925e+00,1.7652e-02,6.7396e-04
2.8084e+00,2.7925e+00,2.8243e+00,1.8347e-02,6.8710e-04
2.8401e+00,2.8243e+00,2.8560e+00,1.8296e-02,6.8614e-04
2.8719e+00,2.8560e+00,2.8877e+00,1.7549e-02,6.7200e-04
2.9036e+00,2.8877e+00,2.9195e+00,1.7704e-02,6.7495e-04
2.9353e+00,2.9195e+00,2.9512e+00,1.7910e-02,6.7886e-04
2.9671e+00,2.9512e+00,2.9829e+00,1.8836e-02,6.9619e-04
2.9988e+00,2.9829e+00,3.0147e+00,1.8193e-02,6.8420e-04
3.0305e+00,3.0147e+00,3.0464e+00,1.7112e-02,6.6357e-04
3.0623e+00,3.0464e+00,3.0781e+00,1.7807e-02,6.7691e-04
3.0940e+00,3.0781e+00,3.1099e+00,1.8398e-02,6.8806e-04
3.1257e+00,3.1099e+00,3.1416e+00,1.8244e-02,6.8517e-04
