# Values for variable: $\Delta R (b_1,\bar{b}_1)$ (Parton Level)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
5.0505e-02,0.0000e+00,1.0101e-01,5.1464e-05,3.6391e-05
1.5152e-01,1.0101e-01,2.0202e-01,1.8012e-04,6.8081e-05
2.5253e-01,2.0202e-01,3.0303e-01,2.3159e-04,7.7196e-05
3.5354e-01,3.0303e-01,4.0404e-01,7.9769e-04,1.4327e-04
4.5455e-01,4.0404e-01,5.0505e-01,1.6211e-03,2.0424e-04
5.5556e-01,5.0505e-01,6.0606e-01,2.7276e-03,2.6493e-04
6.5657e-01,6.0606e-01,7.0707e-01,3.6025e-03,3.0447e-04
7.5758e-01,7.0707e-01,8.0808e-01,5.0178e-03,3.5933e-04
8.5859e-01,8.0808e-01,9.0909e-01,7.4880e-03,4.3896e-04
9.5960e-01,9.0909e-01,1.0101e+00,9.0320e-03,4.8209e-04
1.0606e+00,1.0101e+00,1.1111e+00,1.0730e-02,5.2546e-04
1.1616e+00,1.1111e+00,1.2121e+00,1.3895e-02,5.9796e-04
1.2626e+00,1.2121e+00,1.3131e+00,1.4384e-02,6.0839e-04
1.3636e+00,1.3131e+00,1.4141e+00,1.8810e-02,6.9572e-04
1.4646e+00,1.4141e+00,1.5152e+00,2.0586e-02,7.2781e-04
1.5657e+00,1.5152e+00,1.6162e+00,2.0946e-02,7.3415e-04
1.6667e+00,1.6162e+00,1.7172e+00,2.5398e-02,8.0841e-04
1.7677e+00,1.7172e+00,1.8182e+00,2.7919e-02,8.4760e-04
1.8687e+00,1.8182e+00,1.9192e+00,3.2860e-02,9.1954e-04
1.9697e+00,1.9192e+00,2.0202e+00,3.4713e-02,9.4511e-04
2.0707e+00,2.0202e+00,2.1212e+00,3.7620e-02,9.8389e-04
2.1717e+00,2.1212e+00,2.2222e+00,3.9370e-02,1.0065e-03
2.2727e+00,2.2222e+00,2.3232e+00,4.4208e-02,1.0666e-03
2.3737e+00,2.3232e+00,2.4242e+00,4.3719e-02,1.0606e-03
2.4747e+00,2.4242e+00,2.5253e+00,5.0898e-02,1.1444e-03
2.5758e+00,2.5253e+00,2.6263e+00,5.3857e-02,1.1772e-03
2.6768e+00,2.6263e+00,2.7273e+00,5.5504e-02,1.1951e-03
2.7778e+00,2.7273e+00,2.8283e+00,5.8875e-02,1.2308e-03
2.8788e+00,2.8283e+00,2.9293e+00,5.9029e-02,1.2325e-03
2.9798e+00,2.9293e+00,3.0303e+00,6.0367e-02,1.2463e-03
3.0808e+00,3.0303e+00,3.1313e+00,6.2040e-02,1.2635e-03
3.1818e+00,3.1313e+00,3.2323e+00,4.6832e-02,1.0978e-03
3.2828e+00,3.2323e+00,3.3333e+00,2.8717e-02,8.5962e-04
3.3838e+00,3.3333e+00,3.4343e+00,2.2001e-02,7.5242e-04
3.4848e+00,3.4343e+00,3.5354e+00,1.6932e-02,6.6007e-04
3.5859e+00,3.5354e+00,3.6364e+00,1.4513e-02,6.1110e-04
3.6869e+00,3.6364e+00,3.7374e+00,1.0653e-02,5.2357e-04
3.7879e+00,3.7374e+00,3.8384e+00,8.5688e-03,4.6957e-04
3.8889e+00,3.8384e+00,3.9394e+00,6.7161e-03,4.1571e-04
3.9899e+00,3.9394e+00,4.0404e+00,5.9698e-03,3.9194e-04
