# Values for variable: $\Delta R (b_2,\bar{b}_2)$ (Parton Level)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
5.0505e-02,0.0000e+00,1.0101e-01,0.0000e+00,0.0000e+00
1.5152e-01,1.0101e-01,2.0202e-01,2.5732e-05,2.5732e-05
2.5253e-01,2.0202e-01,3.0303e-01,4.3745e-04,1.0610e-04
3.5354e-01,3.0303e-01,4.0404e-01,9.2635e-04,1.5439e-04
4.5455e-01,4.0404e-01,5.0505e-01,1.4925e-03,1.9597e-04
5.5556e-01,5.0505e-01,6.0606e-01,3.0621e-03,2.8070e-04
6.5657e-01,6.0606e-01,7.0707e-01,4.2201e-03,3.2953e-04
7.5758e-01,7.0707e-01,8.0808e-01,5.5324e-03,3.7731e-04
8.5859e-01,8.0808e-01,9.0909e-01,6.5874e-03,4.1171e-04
9.5960e-01,9.0909e-01,1.0101e+00,8.5688e-03,4.6957e-04
1.0606e+00,1.0101e+00,1.1111e+00,1.0293e-02,5.1464e-04
1.1616e+00,1.1111e+00,1.2121e+00,1.3535e-02,5.9016e-04
1.2626e+00,1.2121e+00,1.3131e+00,1.5902e-02,6.3969e-04
1.3636e+00,1.3131e+00,1.4141e+00,1.7858e-02,6.7788e-04
1.4646e+00,1.4141e+00,1.5152e+00,1.9428e-02,7.0705e-04
1.5657e+00,1.5152e+00,1.6162e+00,2.2361e-02,7.5855e-04
1.6667e+00,1.6162e+00,1.7172e+00,2.5217e-02,8.0554e-04
1.7677e+00,1.7172e+00,1.8182e+00,3.0184e-02,8.8130e-04
1.8687e+00,1.8182e+00,1.9192e+00,3.0467e-02,8.8542e-04
1.9697e+00,1.9192e+00,2.0202e+00,3.4455e-02,9.4160e-04
2.0707e+00,2.0202e+00,2.1212e+00,3.7852e-02,9.8692e-04
2.1717e+00,2.1212e+00,2.2222e+00,4.2587e-02,1.0468e-03
2.2727e+00,2.2222e+00,2.3232e+00,4.3101e-02,1.0531e-03
2.3737e+00,2.3232e+00,2.4242e+00,4.4954e-02,1.0755e-03
2.4747e+00,2.4242e+00,2.5253e+00,5.0383e-02,1.1386e-03
2.5758e+00,2.5253e+00,2.6263e+00,5.5298e-02,1.1929e-03
2.6768e+00,2.6263e+00,2.7273e+00,5.6250e-02,1.2031e-03
2.7778e+00,2.7273e+00,2.8283e+00,5.4166e-02,1.1806e-03
2.8788e+00,2.8283e+00,2.9293e+00,6.0934e-02,1.2522e-03
2.9798e+00,2.9293e+00,3.0303e+00,6.0496e-02,1.2477e-03
3.0808e+00,3.0303e+00,3.1313e+00,6.0470e-02,1.2474e-03
3.1818e+00,3.1313e+00,3.2323e+00,4.6652e-02,1.0957e-03
3.2828e+00,3.2323e+00,3.3333e+00,2.8717e-02,8.5962e-04
3.3838e+00,3.3333e+00,3.4343e+00,2.2541e-02,7.6160e-04
3.4848e+00,3.4343e+00,3.5354e+00,1.8424e-02,6.8854e-04
3.5859e+00,3.5354e+00,3.6364e+00,1.3329e-02,5.8565e-04
3.6869e+00,3.6364e+00,3.7374e+00,1.0087e-02,5.0947e-04
3.7879e+00,3.7374e+00,3.8384e+00,8.3372e-03,4.6318e-04
3.8889e+00,3.8384e+00,3.9394e+00,5.5581e-03,3.7818e-04
3.9899e+00,3.9394e+00,4.0404e+00,5.1464e-03,3.6391e-04
4.0909e+00,4.0404e+00,4.1414e+00,4.0914e-03,3.2447e-04
4.1919e+00,4.1414e+00,4.2424e+00,3.4481e-03,2.9787e-04
4.2929e+00,4.2424e+00,4.3434e+00,3.2165e-03,2.8769e-04
4.3939e+00,4.3434e+00,4.4444e+00,2.6247e-03,2.5988e-04
4.4949e+00,4.4444e+00,4.5455e+00,1.8270e-03,2.1682e-04
4.5960e+00,4.5455e+00,4.6465e+00,1.5954e-03,2.0261e-04
4.6970e+00,4.6465e+00,4.7475e+00,1.4153e-03,1.9083e-04
4.7980e+00,4.7475e+00,4.8485e+00,1.1837e-03,1.7452e-04
4.8990e+00,4.8485e+00,4.9495e+00,9.0062e-04,1.5223e-04
5.0000e+00,4.9495e+00,5.0505e+00,8.2343e-04,1.4556e-04
5.1010e+00,5.0505e+00,5.1515e+00,5.6611e-04,1.2069e-04
5.2020e+00,5.1515e+00,5.2525e+00,4.1171e-04,1.0293e-04
5.3030e+00,5.2525e+00,5.3535e+00,2.8305e-04,8.5344e-05
5.4040e+00,5.3535e+00,5.4545e+00,4.3745e-04,1.0610e-04
5.5051e+00,5.4545e+00,5.5556e+00,1.5439e-04,6.3030e-05
5.6061e+00,5.5556e+00,5.6566e+00,2.8305e-04,8.5344e-05
5.7071e+00,5.6566e+00,5.7576e+00,1.0293e-04,5.1464e-05
5.8081e+00,5.7576e+00,5.8586e+00,5.1464e-05,3.6391e-05
5.9091e+00,5.8586e+00,5.9596e+00,1.5439e-04,6.3030e-05
6.0101e+00,5.9596e+00,6.0606e+00,7.7196e-05,4.4569e-05
6.1111e+00,6.0606e+00,6.1616e+00,1.0293e-04,5.1464e-05
6.2121e+00,6.1616e+00,6.2626e+00,7.7196e-05,4.4569e-05
