# Values for variable: $E_T^{\rm miss}$ (Hardware Trigger, N-1) (GeV)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (37271 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
1.0000e+01,0.0000e+00,2.0000e+01,1.1441e-01,1.7520e-03
3.0000e+01,2.0000e+01,4.0000e+01,2.2106e-01,2.4354e-03
5.0000e+01,4.0000e+01,6.0000e+01,1.9514e-01,2.2882e-03
7.0000e+01,6.0000e+01,8.0000e+01,1.3713e-01,1.9181e-03
9.0000e+01,8.0000e+01,1.0000e+02,9.0848e-02,1.5612e-03
1.1000e+02,1.0000e+02,1.2000e+02,6.2837e-02,1.2984e-03
1.3000e+02,1.2000e+02,1.4000e+02,4.4244e-02,1.0895e-03
1.5000e+02,1.4000e+02,1.6000e+02,3.2948e-02,9.4022e-04
1.7000e+02,1.6000e+02,1.8000e+02,2.5865e-02,8.3304e-04
1.9000e+02,1.8000e+02,2.0000e+02,2.0874e-02,7.4837e-04
2.1000e+02,2.0000e+02,2.2000e+02,1.5776e-02,6.5061e-04
2.3000e+02,2.2000e+02,2.4000e+02,1.1644e-02,5.5895e-04
2.5000e+02,2.4000e+02,2.6000e+02,1.0759e-02,5.3728e-04
2.7000e+02,2.6000e+02,2.8000e+02,8.6931e-03,4.8295e-04
2.9000e+02,2.8000e+02,3.0000e+02,7.7808e-03,4.5691e-04
