# ctau,m1,m0,ms,eff_lowet,eff_highet,eff_lowet_error,eff_highet_error
1.585e+00,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e+00,2.440e+02,2.240e+02,5.000e+02,1.283e-08,0.000e+00,1.283e-08,0.000e+00
2.154e+00,2.440e+02,2.240e+02,5.000e+02,2.082e-06,4.983e-08,1.896e-06,4.983e-08
2.512e+00,2.440e+02,2.240e+02,5.000e+02,8.917e-08,1.977e-09,6.595e-08,1.977e-09
2.929e+00,2.440e+02,2.240e+02,5.000e+02,3.737e-08,0.000e+00,3.737e-08,0.000e+00
3.415e+00,2.440e+02,2.240e+02,5.000e+02,1.283e-08,0.000e+00,1.283e-08,0.000e+00
3.981e+00,2.440e+02,2.240e+02,5.000e+02,2.312e-06,1.008e-07,2.277e-06,1.008e-07
4.642e+00,2.440e+02,2.240e+02,5.000e+02,6.781e-10,1.977e-09,6.781e-10,1.977e-09
5.412e+00,2.440e+02,2.240e+02,5.000e+02,1.283e-08,0.000e+00,1.283e-08,0.000e+00
6.310e+00,2.440e+02,2.240e+02,5.000e+02,3.849e-08,0.000e+00,2.222e-08,0.000e+00
7.356e+00,2.440e+02,2.240e+02,5.000e+02,2.303e-08,0.000e+00,1.639e-08,0.000e+00
8.577e+00,2.440e+02,2.240e+02,5.000e+02,4.869e-08,0.000e+00,2.445e-08,0.000e+00
1.000e+01,2.440e+02,2.240e+02,5.000e+02,2.566e-08,0.000e+00,1.815e-08,0.000e+00
1.000e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,1.977e-09,0.000e+00,1.977e-09
1.166e-01,3.670e+02,3.470e+02,7.500e+02,3.381e-09,1.058e-08,3.381e-09,1.058e-08
1.359e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e-01,3.670e+02,3.470e+02,7.500e+02,3.929e-08,7.827e-08,3.536e-08,7.649e-08
2.512e-01,3.670e+02,3.470e+02,7.500e+02,1.673e-08,8.127e-08,1.323e-08,7.949e-08
2.929e-01,3.670e+02,3.470e+02,7.500e+02,1.255e-08,7.947e-08,1.255e-08,7.947e-08
3.415e-01,3.670e+02,3.470e+02,7.500e+02,6.700e-08,6.763e-07,5.739e-08,6.712e-07
3.981e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,1.977e-09,0.000e+00,1.977e-09
4.642e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,1.977e-09,0.000e+00,1.977e-09
5.412e-01,3.670e+02,3.470e+02,7.500e+02,4.273e-07,5.017e-08,4.182e-07,4.513e-08
6.310e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
7.356e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
8.577e-01,3.670e+02,3.470e+02,7.500e+02,0.000e+00,1.977e-09,0.000e+00,1.977e-09
1.000e+00,3.670e+02,3.470e+02,7.500e+02,4.181e-07,4.497e-08,4.181e-07,4.497e-08
1.166e+00,3.670e+02,3.470e+02,7.500e+02,2.640e-08,3.650e-09,2.640e-08,3.650e-09
1.359e+00,3.670e+02,3.470e+02,7.500e+02,6.781e-10,6.238e-09,6.781e-10,6.238e-09
1.585e+00,3.670e+02,3.470e+02,7.500e+02,1.283e-08,0.000e+00,1.283e-08,0.000e+00
1.848e+00,3.670e+02,3.470e+02,7.500e+02,1.303e-06,3.108e-07,1.276e-06,3.072e-07
2.154e+00,3.670e+02,3.470e+02,7.500e+02,1.307e-08,1.262e-08,1.307e-08,1.262e-08
2.512e+00,3.670e+02,3.470e+02,7.500e+02,3.512e-08,0.000e+00,3.512e-08,0.000e+00
2.929e+00,3.670e+02,3.470e+02,7.500e+02,1.020e-08,0.000e+00,1.020e-08,0.000e+00
3.415e+00,3.670e+02,3.470e+02,7.500e+02,1.283e-08,6.238e-09,1.283e-08,6.238e-09
3.981e+00,3.670e+02,3.470e+02,7.500e+02,2.566e-08,0.000e+00,1.815e-08,0.000e+00
4.642e+00,3.670e+02,3.470e+02,7.500e+02,5.132e-08,0.000e+00,2.566e-08,0.000e+00
5.412e+00,3.670e+02,3.470e+02,7.500e+02,2.566e-08,0.000e+00,1.815e-08,0.000e+00
6.310e+00,3.670e+02,3.470e+02,7.500e+02,1.283e-08,0.000e+00,1.283e-08,0.000e+00
7.356e+00,3.670e+02,3.470e+02,7.500e+02,1.207e-07,0.000e+00,4.592e-08,0.000e+00
8.577e+00,3.670e+02,3.470e+02,7.500e+02,2.303e-08,1.576e-08,1.639e-08,1.576e-08
1.000e+01,3.670e+02,3.470e+02,7.500e+02,3.849e-08,0.000e+00,2.222e-08,0.000e+00
1.000e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.166e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e-01,4.890e+02,4.690e+02,1.000e+03,4.173e-09,1.799e-09,4.173e-09,1.799e-09
2.512e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.929e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,1.977e-09,0.000e+00,1.977e-09
3.415e-01,4.890e+02,4.690e+02,1.000e+03,3.058e-08,5.449e-09,2.673e-08,4.069e-09
3.981e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
4.642e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
5.412e-01,4.890e+02,4.690e+02,1.000e+03,4.173e-09,1.799e-09,4.173e-09,1.799e-09
6.310e-01,4.890e+02,4.690e+02,1.000e+03,1.356e-09,0.000e+00,9.590e-10,0.000e+00
