# ctau,m1,m0,ms,eff_lowet,eff_highet,eff_lowet_error,eff_highet_error
7.356e-01,4.890e+02,4.690e+02,1.000e+03,3.255e-07,8.542e-08,2.920e-07,8.346e-08
8.577e-01,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.000e+00,4.890e+02,4.690e+02,1.000e+03,2.640e-08,3.650e-09,2.640e-08,3.650e-09
1.166e+00,4.890e+02,4.690e+02,1.000e+03,3.512e-08,0.000e+00,3.512e-08,0.000e+00
1.359e+00,4.890e+02,4.690e+02,1.000e+03,6.781e-10,0.000e+00,6.781e-10,0.000e+00
1.585e+00,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e+00,4.890e+02,4.690e+02,1.000e+03,4.173e-09,1.799e-09,4.173e-09,1.799e-09
2.154e+00,4.890e+02,4.690e+02,1.000e+03,1.020e-08,0.000e+00,1.020e-08,0.000e+00
2.512e+00,4.890e+02,4.690e+02,1.000e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.929e+00,4.890e+02,4.690e+02,1.000e+03,1.307e-07,0.000e+00,1.307e-07,0.000e+00
3.415e+00,4.890e+02,4.690e+02,1.000e+03,3.092e-08,0.000e+00,3.092e-08,0.000e+00
3.981e+00,4.890e+02,4.690e+02,1.000e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
4.642e+00,4.890e+02,4.690e+02,1.000e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
5.412e+00,4.890e+02,4.690e+02,1.000e+03,3.849e-08,0.000e+00,2.222e-08,0.000e+00
6.310e+00,4.890e+02,4.690e+02,1.000e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
7.356e+00,4.890e+02,4.690e+02,1.000e+03,5.132e-08,0.000e+00,2.566e-08,0.000e+00
8.577e+00,4.890e+02,4.690e+02,1.000e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
1.000e+01,4.890e+02,4.690e+02,1.000e+03,3.849e-08,0.000e+00,2.222e-08,0.000e+00
1.000e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.166e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.512e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.929e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.415e-01,6.120e+02,5.920e+02,1.250e+03,1.060e-08,5.039e-09,1.060e-08,5.039e-09
3.981e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,1.977e-09,0.000e+00,1.977e-09
4.642e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,1.977e-09,0.000e+00,1.977e-09
5.412e-01,6.120e+02,5.920e+02,1.250e+03,4.173e-09,1.799e-09,4.173e-09,1.799e-09
6.310e-01,6.120e+02,5.920e+02,1.250e+03,3.564e-08,0.000e+00,3.564e-08,0.000e+00
7.356e-01,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
8.577e-01,6.120e+02,5.920e+02,1.250e+03,6.781e-10,0.000e+00,6.781e-10,0.000e+00
1.000e+00,6.120e+02,5.920e+02,1.250e+03,0.000e+00,1.977e-09,0.000e+00,1.977e-09
1.166e+00,6.120e+02,5.920e+02,1.250e+03,4.173e-09,1.799e-09,4.173e-09,1.799e-09
1.359e+00,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e+00,6.120e+02,5.920e+02,1.250e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e+00,6.120e+02,5.920e+02,1.250e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
2.154e+00,6.120e+02,5.920e+02,1.250e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
2.512e+00,6.120e+02,5.920e+02,1.250e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
2.929e+00,6.120e+02,5.920e+02,1.250e+03,2.343e-08,5.039e-09,1.664e-08,5.039e-09
3.415e+00,6.120e+02,5.920e+02,1.250e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
3.981e+00,6.120e+02,5.920e+02,1.250e+03,3.512e-08,0.000e+00,3.512e-08,0.000e+00
4.642e+00,6.120e+02,5.920e+02,1.250e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
5.412e+00,6.120e+02,5.920e+02,1.250e+03,8.981e-08,0.000e+00,3.395e-08,0.000e+00
6.310e+00,6.120e+02,5.920e+02,1.250e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
7.356e+00,6.120e+02,5.920e+02,1.250e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
8.577e+00,6.120e+02,5.920e+02,1.250e+03,3.849e-08,0.000e+00,2.222e-08,0.000e+00
1.000e+01,6.120e+02,5.920e+02,1.250e+03,5.132e-08,0.000e+00,2.566e-08,0.000e+00
1.000e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.166e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.512e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.929e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.415e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.981e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
4.642e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
5.412e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
6.310e-01,7.340e+02,7.140e+02,1.500e+03,4.173e-09,1.799e-09,4.173e-09,1.799e-09
7.356e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
8.577e-01,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.000e+00,7.340e+02,7.140e+02,1.500e+03,2.640e-08,3.650e-09,2.640e-08,3.650e-09
1.166e+00,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e+00,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e+00,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e+00,7.340e+02,7.140e+02,1.500e+03,1.060e-08,5.039e-09,1.060e-08,5.039e-09
2.154e+00,7.340e+02,7.140e+02,1.500e+03,2.566e-08,0.000e+00,1.815e-08,0.000e+00
2.512e+00,7.340e+02,7.140e+02,1.500e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
2.929e+00,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.415e+00,7.340e+02,7.140e+02,1.500e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
3.981e+00,7.340e+02,7.140e+02,1.500e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
4.642e+00,7.340e+02,7.140e+02,1.500e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
5.412e+00,7.340e+02,7.140e+02,1.500e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
6.310e+00,7.340e+02,7.140e+02,1.500e+03,1.283e-08,0.000e+00,1.283e-08,0.000e+00
7.356e+00,7.340e+02,7.140e+02,1.500e+03,6.415e-08,0.000e+00,2.869e-08,0.000e+00
8.577e+00,7.340e+02,7.140e+02,1.500e+03,5.132e-08,0.000e+00,2.566e-08,0.000e+00
1.000e+01,7.340e+02,7.140e+02,1.500e+03,6.415e-08,0.000e+00,2.869e-08,0.000e+00
1.000e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.166e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.512e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.929e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.415e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.981e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
4.642e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
5.412e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
6.310e-01,8.570e+02,8.370e+02,1.750e+03,0.000e+00,0.000e+00,0.000e+00,0.000e+00
