# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_13/ddmH_500_244_1_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,5.256e-05
1.076e-01,0.000e+00,3.469e-05
1.158e-01,0.000e+00,4.219e-05
1.247e-01,0.000e+00,8.156e-05
1.342e-01,0.000e+00,5.624e-05
1.444e-01,0.000e+00,8.484e-05
1.554e-01,0.000e+00,7.294e-05
1.673e-01,0.000e+00,1.259e-04
1.800e-01,0.000e+00,8.052e-05
1.937e-01,0.000e+00,1.872e-04
2.085e-01,0.000e+00,2.300e-04
2.244e-01,0.000e+00,2.332e-04
2.415e-01,0.000e+00,3.057e-04
2.600e-01,0.000e+00,4.452e-04
2.798e-01,0.000e+00,4.115e-04
3.011e-01,0.000e+00,7.135e-04
3.241e-01,0.000e+00,7.387e-04
3.488e-01,0.000e+00,7.674e-04
3.754e-01,0.000e+00,9.211e-04
4.040e-01,0.000e+00,1.187e-03
4.348e-01,0.000e+00,1.427e-03
4.680e-01,0.000e+00,1.467e-03
5.036e-01,0.000e+00,1.813e-03
5.421e-01,0.000e+00,1.967e-03
5.834e-01,0.000e+00,2.465e-03
6.279e-01,0.000e+00,2.442e-03
6.758e-01,0.000e+00,2.799e-03
7.273e-01,0.000e+00,3.105e-03
7.827e-01,0.000e+00,3.227e-03
8.424e-01,0.000e+00,4.025e-03
9.067e-01,0.000e+00,4.501e-03
9.758e-01,0.000e+00,4.505e-03
1.050e+00,0.000e+00,4.971e-03
1.130e+00,0.000e+00,5.428e-03
1.216e+00,0.000e+00,5.695e-03
1.309e+00,0.000e+00,5.702e-03
1.409e+00,0.000e+00,6.210e-03
1.517e+00,0.000e+00,6.299e-03
1.632e+00,0.000e+00,6.897e-03
1.757e+00,0.000e+00,7.017e-03
1.891e+00,0.000e+00,7.530e-03
2.035e+00,0.000e+00,7.364e-03
2.190e+00,0.000e+00,7.563e-03
2.357e+00,0.000e+00,7.644e-03
2.537e+00,0.000e+00,8.137e-03
2.730e+00,0.000e+00,7.856e-03
2.938e+00,0.000e+00,8.007e-03
3.162e+00,0.000e+00,8.114e-03
3.403e+00,0.000e+00,8.033e-03
3.663e+00,0.000e+00,7.738e-03
3.942e+00,0.000e+00,7.872e-03
4.243e+00,0.000e+00,7.733e-03
4.566e+00,0.000e+00,7.651e-03
4.915e+00,0.000e+00,7.092e-03
5.289e+00,0.000e+00,7.485e-03
5.693e+00,0.000e+00,7.103e-03
6.127e+00,0.000e+00,6.751e-03
6.594e+00,0.000e+00,6.868e-03
7.097e+00,0.000e+00,6.524e-03
7.638e+00,0.000e+00,6.053e-03
8.220e+00,0.000e+00,5.716e-03
8.847e+00,0.000e+00,5.708e-03
9.522e+00,0.000e+00,5.194e-03
1.025e+01,0.000e+00,5.016e-03
1.103e+01,0.000e+00,4.502e-03
1.187e+01,0.000e+00,4.151e-03
1.278e+01,0.000e+00,3.974e-03
1.375e+01,0.000e+00,3.519e-03
1.480e+01,0.000e+00,3.470e-03
1.593e+01,0.000e+00,3.340e-03
1.714e+01,0.000e+00,2.997e-03
1.845e+01,0.000e+00,2.957e-03
1.986e+01,0.000e+00,2.428e-03
2.137e+01,0.000e+00,2.354e-03
2.300e+01,0.000e+00,2.041e-03
2.475e+01,0.000e+00,1.905e-03
2.664e+01,0.000e+00,1.886e-03
2.867e+01,0.000e+00,1.723e-03
3.086e+01,0.000e+00,1.474e-03
3.321e+01,0.000e+00,1.268e-03
3.574e+01,0.000e+00,1.033e-03
3.847e+01,0.000e+00,1.127e-03
4.140e+01,0.000e+00,8.890e-04
4.456e+01,0.000e+00,8.545e-04
4.796e+01,0.000e+00,7.843e-04
5.161e+01,0.000e+00,5.652e-04
5.555e+01,0.000e+00,5.740e-04
5.979e+01,0.000e+00,5.176e-04
6.434e+01,0.000e+00,3.945e-04
6.925e+01,0.000e+00,3.626e-04
7.453e+01,0.000e+00,3.101e-04
8.021e+01,0.000e+00,2.455e-04
8.633e+01,0.000e+00,2.509e-04
9.291e+01,0.000e+00,2.819e-04
1.000e+02,0.000e+00,2.330e-04
