# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_03/ddmH_1500_734_684_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,4.393e-07
1.076e-01,0.000e+00,4.393e-07
1.158e-01,0.000e+00,4.393e-07
1.247e-01,0.000e+00,4.452e-07
1.342e-01,0.000e+00,4.489e-07
1.444e-01,0.000e+00,4.393e-07
1.554e-01,0.000e+00,8.465e-06
1.673e-01,0.000e+00,7.089e-07
1.800e-01,0.000e+00,2.943e-06
1.937e-01,0.000e+00,2.548e-06
2.085e-01,0.000e+00,4.896e-06
2.244e-01,0.000e+00,4.388e-06
2.415e-01,0.000e+00,8.630e-06
2.600e-01,0.000e+00,1.509e-05
2.798e-01,0.000e+00,5.995e-06
3.011e-01,0.000e+00,5.436e-06
3.241e-01,0.000e+00,2.496e-05
3.488e-01,0.000e+00,1.530e-05
3.754e-01,0.000e+00,2.935e-05
4.040e-01,0.000e+00,4.028e-05
4.348e-01,0.000e+00,4.411e-05
4.680e-01,0.000e+00,4.604e-05
5.036e-01,0.000e+00,5.488e-05
5.421e-01,0.000e+00,6.326e-05
5.834e-01,0.000e+00,7.257e-05
6.279e-01,0.000e+00,6.018e-05
6.758e-01,0.000e+00,8.796e-05
7.273e-01,0.000e+00,8.870e-05
7.827e-01,0.000e+00,9.507e-05
8.424e-01,0.000e+00,1.129e-04
9.067e-01,0.000e+00,1.311e-04
9.758e-01,0.000e+00,9.767e-05
1.050e+00,0.000e+00,1.153e-04
1.130e+00,0.000e+00,9.821e-05
1.216e+00,0.000e+00,1.552e-04
1.309e+00,0.000e+00,1.145e-04
1.409e+00,0.000e+00,1.484e-04
1.517e+00,0.000e+00,1.384e-04
1.632e+00,0.000e+00,1.251e-04
1.757e+00,0.000e+00,1.520e-04
1.891e+00,0.000e+00,1.175e-04
2.035e+00,0.000e+00,1.234e-04
2.190e+00,0.000e+00,9.326e-05
2.357e+00,0.000e+00,1.168e-04
2.537e+00,0.000e+00,8.857e-05
2.730e+00,0.000e+00,1.057e-04
2.938e+00,0.000e+00,9.349e-05
3.162e+00,0.000e+00,8.185e-05
3.403e+00,0.000e+00,7.173e-05
3.663e+00,0.000e+00,9.051e-05
3.942e+00,0.000e+00,8.379e-05
4.243e+00,0.000e+00,8.167e-05
4.566e+00,0.000e+00,7.794e-05
4.915e+00,0.000e+00,7.861e-05
5.289e+00,0.000e+00,5.401e-05
5.693e+00,0.000e+00,4.450e-05
6.127e+00,0.000e+00,6.289e-05
6.594e+00,0.000e+00,5.056e-05
7.097e+00,0.000e+00,3.505e-05
7.638e+00,0.000e+00,2.658e-05
8.220e+00,0.000e+00,2.230e-05
8.847e+00,0.000e+00,4.253e-05
9.522e+00,0.000e+00,2.522e-05
1.025e+01,0.000e+00,2.214e-05
1.103e+01,0.000e+00,1.789e-05
1.187e+01,0.000e+00,2.173e-05
1.278e+01,0.000e+00,9.222e-06
1.375e+01,0.000e+00,7.596e-06
1.480e+01,0.000e+00,2.187e-05
1.593e+01,0.000e+00,1.154e-05
1.714e+01,0.000e+00,2.507e-05
1.845e+01,0.000e+00,6.766e-06
1.986e+01,0.000e+00,1.907e-05
2.137e+01,0.000e+00,2.092e-05
2.300e+01,0.000e+00,9.860e-06
2.475e+01,0.000e+00,2.284e-06
2.664e+01,0.000e+00,2.522e-06
2.867e+01,0.000e+00,8.409e-06
3.086e+01,0.000e+00,5.213e-06
3.321e+01,0.000e+00,3.129e-06
3.574e+01,0.000e+00,3.454e-06
3.847e+01,0.000e+00,3.626e-06
4.140e+01,0.000e+00,3.075e-06
4.456e+01,0.000e+00,6.492e-07
4.796e+01,0.000e+00,9.339e-07
5.161e+01,0.000e+00,1.598e-06
5.555e+01,0.000e+00,1.134e-06
5.979e+01,0.000e+00,2.146e-06
6.434e+01,0.000e+00,1.503e-06
6.925e+01,0.000e+00,1.368e-06
7.453e+01,0.000e+00,5.000e-07
8.021e+01,0.000e+00,3.547e-07
8.633e+01,0.000e+00,2.013e-06
9.291e+01,0.000e+00,9.578e-07
1.000e+02,0.000e+00,2.713e-07
