# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_04/ddmH_500_244_154_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,2.907e-06
1.076e-01,0.000e+00,7.756e-06
1.158e-01,0.000e+00,1.442e-05
1.247e-01,0.000e+00,5.220e-06
1.342e-01,0.000e+00,1.189e-05
1.444e-01,0.000e+00,1.168e-05
1.554e-01,0.000e+00,3.277e-05
1.673e-01,0.000e+00,6.138e-06
1.800e-01,0.000e+00,3.563e-05
1.937e-01,0.000e+00,4.068e-05
2.085e-01,0.000e+00,3.250e-05
2.244e-01,0.000e+00,4.327e-05
2.415e-01,0.000e+00,3.522e-05
2.600e-01,0.000e+00,7.459e-05
2.798e-01,0.000e+00,6.872e-05
3.011e-01,0.000e+00,9.391e-05
3.241e-01,0.000e+00,1.145e-04
3.488e-01,0.000e+00,1.005e-04
3.754e-01,0.000e+00,1.216e-04
4.040e-01,0.000e+00,1.266e-04
4.348e-01,0.000e+00,1.540e-04
4.680e-01,0.000e+00,2.937e-04
5.036e-01,0.000e+00,2.832e-04
5.421e-01,0.000e+00,2.823e-04
5.834e-01,0.000e+00,3.251e-04
6.279e-01,0.000e+00,4.178e-04
6.758e-01,0.000e+00,4.305e-04
7.273e-01,0.000e+00,4.291e-04
7.827e-01,0.000e+00,4.926e-04
8.424e-01,0.000e+00,3.630e-04
9.067e-01,0.000e+00,4.724e-04
9.758e-01,0.000e+00,5.700e-04
1.050e+00,0.000e+00,5.761e-04
1.130e+00,0.000e+00,5.499e-04
1.216e+00,0.000e+00,6.981e-04
1.309e+00,0.000e+00,6.713e-04
1.409e+00,0.000e+00,6.025e-04
1.517e+00,0.000e+00,6.193e-04
1.632e+00,0.000e+00,6.148e-04
1.757e+00,0.000e+00,5.370e-04
1.891e+00,0.000e+00,6.119e-04
2.035e+00,0.000e+00,5.388e-04
2.190e+00,0.000e+00,5.764e-04
2.357e+00,0.000e+00,5.298e-04
2.537e+00,0.000e+00,4.838e-04
2.730e+00,0.000e+00,5.252e-04
2.938e+00,0.000e+00,5.514e-04
3.162e+00,0.000e+00,3.797e-04
3.403e+00,0.000e+00,4.351e-04
3.663e+00,0.000e+00,3.830e-04
3.942e+00,0.000e+00,4.623e-04
4.243e+00,0.000e+00,4.631e-04
4.566e+00,0.000e+00,3.705e-04
4.915e+00,0.000e+00,3.096e-04
5.289e+00,0.000e+00,2.546e-04
5.693e+00,0.000e+00,2.338e-04
6.127e+00,0.000e+00,2.834e-04
6.594e+00,0.000e+00,2.024e-04
7.097e+00,0.000e+00,1.751e-04
7.638e+00,0.000e+00,1.854e-04
8.220e+00,0.000e+00,1.847e-04
8.847e+00,0.000e+00,1.661e-04
9.522e+00,0.000e+00,1.239e-04
1.025e+01,0.000e+00,1.366e-04
1.103e+01,0.000e+00,1.251e-04
1.187e+01,0.000e+00,9.479e-05
1.278e+01,0.000e+00,1.010e-04
1.375e+01,0.000e+00,1.025e-04
1.480e+01,0.000e+00,8.509e-05
1.593e+01,0.000e+00,7.923e-05
1.714e+01,0.000e+00,6.462e-05
1.845e+01,0.000e+00,7.120e-05
1.986e+01,0.000e+00,4.193e-05
2.137e+01,0.000e+00,3.386e-05
2.300e+01,0.000e+00,3.152e-05
2.475e+01,0.000e+00,2.919e-05
2.664e+01,0.000e+00,2.554e-05
2.867e+01,0.000e+00,3.687e-05
3.086e+01,0.000e+00,7.114e-06
3.321e+01,0.000e+00,2.538e-05
3.574e+01,0.000e+00,9.519e-06
3.847e+01,0.000e+00,2.637e-05
4.140e+01,0.000e+00,1.241e-05
4.456e+01,0.000e+00,2.252e-05
4.796e+01,0.000e+00,1.631e-05
5.161e+01,0.000e+00,6.922e-06
5.555e+01,0.000e+00,5.842e-06
5.979e+01,0.000e+00,9.933e-06
6.434e+01,0.000e+00,3.563e-06
6.925e+01,0.000e+00,6.665e-06
7.453e+01,0.000e+00,1.567e-05
8.021e+01,0.000e+00,4.606e-06
8.633e+01,0.000e+00,2.651e-06
9.291e+01,0.000e+00,1.360e-05
1.000e+02,0.000e+00,2.293e-06
