# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_03/ddmH_1500_734_684_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,9.355e-08
1.076e-01,0.000e+00,9.355e-08
1.158e-01,0.000e+00,9.355e-08
1.247e-01,0.000e+00,9.355e-08
1.342e-01,0.000e+00,9.355e-08
1.444e-01,0.000e+00,4.546e-07
1.554e-01,0.000e+00,9.355e-08
1.673e-01,0.000e+00,4.918e-06
1.800e-01,0.000e+00,1.014e-07
1.937e-01,0.000e+00,1.086e-07
2.085e-01,0.000e+00,9.355e-08
2.244e-01,0.000e+00,1.151e-07
2.415e-01,0.000e+00,4.409e-06
2.600e-01,0.000e+00,1.450e-07
2.798e-01,0.000e+00,3.967e-06
3.011e-01,0.000e+00,2.304e-06
3.241e-01,0.000e+00,7.108e-06
3.488e-01,0.000e+00,1.129e-06
3.754e-01,0.000e+00,5.040e-06
4.040e-01,0.000e+00,4.114e-06
4.348e-01,0.000e+00,9.417e-06
4.680e-01,0.000e+00,1.865e-05
5.036e-01,0.000e+00,2.774e-05
5.421e-01,0.000e+00,4.422e-05
5.834e-01,0.000e+00,2.815e-05
6.279e-01,0.000e+00,1.237e-05
6.758e-01,0.000e+00,2.517e-05
7.273e-01,0.000e+00,2.115e-05
7.827e-01,0.000e+00,3.159e-05
8.424e-01,0.000e+00,4.268e-05
9.067e-01,0.000e+00,5.607e-05
9.758e-01,0.000e+00,3.285e-05
1.050e+00,0.000e+00,5.710e-05
1.130e+00,0.000e+00,7.371e-05
1.216e+00,0.000e+00,5.197e-05
1.309e+00,0.000e+00,3.921e-05
1.409e+00,0.000e+00,7.054e-05
1.517e+00,0.000e+00,4.466e-05
1.632e+00,0.000e+00,3.627e-05
1.757e+00,0.000e+00,4.276e-05
1.891e+00,0.000e+00,3.903e-05
2.035e+00,0.000e+00,3.468e-05
2.190e+00,0.000e+00,3.036e-05
2.357e+00,0.000e+00,4.362e-05
2.537e+00,0.000e+00,3.603e-05
2.730e+00,0.000e+00,1.987e-05
2.938e+00,0.000e+00,2.248e-05
3.162e+00,0.000e+00,3.640e-05
3.403e+00,0.000e+00,5.088e-05
3.663e+00,0.000e+00,3.594e-05
3.942e+00,0.000e+00,2.490e-05
4.243e+00,0.000e+00,1.232e-05
4.566e+00,0.000e+00,2.454e-05
4.915e+00,0.000e+00,8.454e-06
5.289e+00,0.000e+00,1.311e-05
5.693e+00,0.000e+00,1.793e-05
6.127e+00,0.000e+00,1.288e-05
6.594e+00,0.000e+00,7.424e-06
7.097e+00,0.000e+00,4.618e-06
7.638e+00,0.000e+00,1.271e-05
8.220e+00,0.000e+00,8.411e-06
8.847e+00,0.000e+00,6.455e-06
9.522e+00,0.000e+00,1.890e-05
1.025e+01,0.000e+00,4.960e-06
1.103e+01,0.000e+00,1.339e-06
1.187e+01,0.000e+00,7.283e-06
1.278e+01,0.000e+00,1.477e-05
1.375e+01,0.000e+00,5.642e-06
1.480e+01,0.000e+00,3.496e-06
1.593e+01,0.000e+00,4.231e-06
1.714e+01,0.000e+00,1.983e-06
1.845e+01,0.000e+00,8.952e-07
1.986e+01,0.000e+00,4.039e-06
2.137e+01,0.000e+00,1.151e-06
2.300e+01,0.000e+00,7.899e-07
2.475e+01,0.000e+00,8.344e-07
2.664e+01,0.000e+00,1.725e-06
2.867e+01,0.000e+00,1.733e-06
3.086e+01,0.000e+00,4.549e-07
3.321e+01,0.000e+00,4.384e-06
3.574e+01,0.000e+00,3.779e-07
3.847e+01,0.000e+00,1.053e-07
4.140e+01,0.000e+00,2.120e-06
4.456e+01,0.000e+00,5.102e-08
4.796e+01,0.000e+00,2.571e-07
5.161e+01,0.000e+00,4.375e-08
5.555e+01,0.000e+00,3.827e-07
5.979e+01,0.000e+00,5.714e-08
6.434e+01,0.000e+00,3.145e-07
6.925e+01,0.000e+00,0.000e+00
7.453e+01,0.000e+00,5.529e-08
8.021e+01,0.000e+00,5.459e-08
8.633e+01,0.000e+00,4.514e-08
9.291e+01,0.000e+00,1.364e-07
1.000e+02,0.000e+00,3.834e-07
