# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_13/ddmH_500_244_1_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,2.279e-05
1.076e-01,0.000e+00,2.366e-05
1.158e-01,0.000e+00,2.816e-05
1.247e-01,0.000e+00,3.058e-05
1.342e-01,0.000e+00,4.131e-05
1.444e-01,0.000e+00,3.051e-05
1.554e-01,0.000e+00,5.851e-05
1.673e-01,0.000e+00,7.641e-05
1.800e-01,0.000e+00,9.453e-05
1.937e-01,0.000e+00,1.312e-04
2.085e-01,0.000e+00,1.886e-04
2.244e-01,0.000e+00,2.759e-04
2.415e-01,0.000e+00,2.885e-04
2.600e-01,0.000e+00,3.386e-04
2.798e-01,0.000e+00,3.956e-04
3.011e-01,0.000e+00,4.620e-04
3.241e-01,0.000e+00,5.374e-04
3.488e-01,0.000e+00,5.472e-04
3.754e-01,0.000e+00,7.760e-04
4.040e-01,0.000e+00,9.440e-04
4.348e-01,0.000e+00,1.112e-03
4.680e-01,0.000e+00,1.252e-03
5.036e-01,0.000e+00,1.379e-03
5.421e-01,0.000e+00,1.659e-03
5.834e-01,0.000e+00,1.881e-03
6.279e-01,0.000e+00,2.188e-03
6.758e-01,0.000e+00,2.492e-03
7.273e-01,0.000e+00,2.644e-03
7.827e-01,0.000e+00,2.892e-03
8.424e-01,0.000e+00,3.196e-03
9.067e-01,0.000e+00,3.376e-03
9.758e-01,0.000e+00,3.696e-03
1.050e+00,0.000e+00,4.041e-03
1.130e+00,0.000e+00,4.244e-03
1.216e+00,0.000e+00,4.486e-03
1.309e+00,0.000e+00,4.873e-03
1.409e+00,0.000e+00,5.071e-03
1.517e+00,0.000e+00,5.283e-03
1.632e+00,0.000e+00,5.544e-03
1.757e+00,0.000e+00,5.802e-03
1.891e+00,0.000e+00,5.827e-03
2.035e+00,0.000e+00,6.081e-03
2.190e+00,0.000e+00,6.289e-03
2.357e+00,0.000e+00,6.217e-03
2.537e+00,0.000e+00,6.238e-03
2.730e+00,0.000e+00,6.390e-03
2.938e+00,0.000e+00,6.199e-03
3.162e+00,0.000e+00,6.536e-03
3.403e+00,0.000e+00,6.530e-03
3.663e+00,0.000e+00,6.350e-03
3.942e+00,0.000e+00,6.465e-03
4.243e+00,0.000e+00,6.036e-03
4.566e+00,0.000e+00,6.200e-03
4.915e+00,0.000e+00,5.717e-03
5.289e+00,0.000e+00,5.916e-03
5.693e+00,0.000e+00,5.623e-03
6.127e+00,0.000e+00,5.506e-03
6.594e+00,0.000e+00,5.263e-03
7.097e+00,0.000e+00,5.022e-03
7.638e+00,0.000e+00,5.035e-03
8.220e+00,0.000e+00,4.561e-03
8.847e+00,0.000e+00,4.421e-03
9.522e+00,0.000e+00,4.053e-03
1.025e+01,0.000e+00,3.717e-03
1.103e+01,0.000e+00,3.560e-03
1.187e+01,0.000e+00,3.466e-03
1.278e+01,0.000e+00,3.147e-03
1.375e+01,0.000e+00,3.188e-03
1.480e+01,0.000e+00,2.510e-03
1.593e+01,0.000e+00,2.370e-03
1.714e+01,0.000e+00,2.389e-03
1.845e+01,0.000e+00,2.110e-03
1.986e+01,0.000e+00,2.043e-03
2.137e+01,0.000e+00,1.991e-03
2.300e+01,0.000e+00,1.557e-03
2.475e+01,0.000e+00,1.439e-03
2.664e+01,0.000e+00,1.420e-03
2.867e+01,0.000e+00,1.136e-03
3.086e+01,0.000e+00,9.475e-04
3.321e+01,0.000e+00,9.893e-04
3.574e+01,0.000e+00,8.595e-04
3.847e+01,0.000e+00,7.627e-04
4.140e+01,0.000e+00,6.834e-04
4.456e+01,0.000e+00,6.112e-04
4.796e+01,0.000e+00,5.085e-04
5.161e+01,0.000e+00,5.046e-04
5.555e+01,0.000e+00,4.750e-04
5.979e+01,0.000e+00,3.569e-04
6.434e+01,0.000e+00,3.684e-04
6.925e+01,0.000e+00,3.190e-04
7.453e+01,0.000e+00,2.394e-04
8.021e+01,0.000e+00,2.715e-04
8.633e+01,0.000e+00,2.051e-04
9.291e+01,0.000e+00,1.761e-04
1.000e+02,0.000e+00,1.557e-04
