# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_15/ddmH_1500_734_434_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,3.889e-05
1.076e-01,0.000e+00,3.889e-05
1.158e-01,0.000e+00,4.074e-05
1.247e-01,0.000e+00,3.889e-05
1.342e-01,0.000e+00,3.889e-05
1.444e-01,0.000e+00,3.889e-05
1.554e-01,0.000e+00,4.160e-05
1.673e-01,0.000e+00,5.814e-05
1.800e-01,0.000e+00,6.507e-05
1.937e-01,0.000e+00,6.343e-05
2.085e-01,0.000e+00,1.102e-04
2.244e-01,0.000e+00,1.052e-04
2.415e-01,0.000e+00,1.297e-04
2.600e-01,0.000e+00,1.216e-04
2.798e-01,0.000e+00,2.857e-04
3.011e-01,0.000e+00,4.080e-04
3.241e-01,0.000e+00,4.580e-04
3.488e-01,0.000e+00,5.862e-04
3.754e-01,0.000e+00,6.949e-04
4.040e-01,0.000e+00,8.917e-04
4.348e-01,0.000e+00,1.264e-03
4.680e-01,0.000e+00,1.450e-03
5.036e-01,0.000e+00,1.740e-03
5.421e-01,0.000e+00,2.392e-03
5.834e-01,0.000e+00,2.809e-03
6.279e-01,0.000e+00,3.493e-03
6.758e-01,0.000e+00,4.560e-03
7.273e-01,0.000e+00,4.934e-03
7.827e-01,0.000e+00,6.257e-03
8.424e-01,0.000e+00,6.832e-03
9.067e-01,0.000e+00,8.029e-03
9.758e-01,0.000e+00,9.303e-03
1.050e+00,0.000e+00,1.058e-02
1.130e+00,0.000e+00,1.263e-02
1.216e+00,0.000e+00,1.399e-02
1.309e+00,0.000e+00,1.571e-02
1.409e+00,0.000e+00,1.728e-02
1.517e+00,0.000e+00,1.903e-02
1.632e+00,0.000e+00,2.035e-02
1.757e+00,0.000e+00,2.239e-02
1.891e+00,0.000e+00,2.584e-02
2.035e+00,0.000e+00,2.683e-02
2.190e+00,0.000e+00,2.914e-02
2.357e+00,0.000e+00,3.043e-02
2.537e+00,0.000e+00,3.208e-02
2.730e+00,0.000e+00,3.387e-02
2.938e+00,0.000e+00,3.530e-02
3.162e+00,0.000e+00,3.716e-02
3.403e+00,0.000e+00,3.769e-02
3.663e+00,0.000e+00,3.813e-02
3.942e+00,0.000e+00,3.938e-02
4.243e+00,0.000e+00,3.915e-02
4.566e+00,0.000e+00,3.982e-02
4.915e+00,0.000e+00,3.902e-02
5.289e+00,0.000e+00,4.016e-02
5.693e+00,0.000e+00,3.972e-02
6.127e+00,0.000e+00,3.913e-02
6.594e+00,0.000e+00,3.878e-02
7.097e+00,0.000e+00,3.707e-02
7.638e+00,0.000e+00,3.796e-02
8.220e+00,0.000e+00,3.518e-02
8.847e+00,0.000e+00,3.379e-02
9.522e+00,0.000e+00,3.337e-02
1.025e+01,0.000e+00,3.175e-02
1.103e+01,0.000e+00,3.129e-02
1.187e+01,0.000e+00,2.812e-02
1.278e+01,0.000e+00,2.761e-02
1.375e+01,0.000e+00,2.542e-02
1.480e+01,0.000e+00,2.406e-02
1.593e+01,0.000e+00,2.283e-02
1.714e+01,0.000e+00,2.070e-02
1.845e+01,0.000e+00,1.852e-02
1.986e+01,0.000e+00,1.782e-02
2.137e+01,0.000e+00,1.665e-02
2.300e+01,0.000e+00,1.493e-02
2.475e+01,0.000e+00,1.362e-02
2.664e+01,0.000e+00,1.311e-02
2.867e+01,0.000e+00,1.151e-02
3.086e+01,0.000e+00,1.034e-02
3.321e+01,0.000e+00,9.347e-03
3.574e+01,0.000e+00,8.931e-03
3.847e+01,0.000e+00,7.988e-03
4.140e+01,0.000e+00,7.128e-03
4.456e+01,0.000e+00,6.457e-03
4.796e+01,0.000e+00,6.145e-03
5.161e+01,0.000e+00,5.361e-03
5.555e+01,0.000e+00,4.700e-03
5.979e+01,0.000e+00,4.188e-03
6.434e+01,0.000e+00,3.729e-03
6.925e+01,0.000e+00,3.111e-03
7.453e+01,0.000e+00,2.899e-03
8.021e+01,0.000e+00,2.421e-03
8.633e+01,0.000e+00,2.463e-03
9.291e+01,0.000e+00,2.088e-03
1.000e+02,0.000e+00,1.781e-03
