# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_08/ddmH_1000_489_389_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,2.862e-06
1.076e-01,0.000e+00,2.862e-06
1.158e-01,0.000e+00,6.636e-06
1.247e-01,0.000e+00,1.331e-05
1.342e-01,0.000e+00,3.214e-06
1.444e-01,0.000e+00,5.876e-06
1.554e-01,0.000e+00,1.668e-05
1.673e-01,0.000e+00,1.454e-05
1.800e-01,0.000e+00,9.810e-06
1.937e-01,0.000e+00,2.837e-05
2.085e-01,0.000e+00,2.489e-05
2.244e-01,0.000e+00,2.021e-05
2.415e-01,0.000e+00,5.774e-05
2.600e-01,0.000e+00,3.178e-05
2.798e-01,0.000e+00,1.185e-04
3.011e-01,0.000e+00,9.588e-05
3.241e-01,0.000e+00,1.233e-04
3.488e-01,0.000e+00,1.623e-04
3.754e-01,0.000e+00,1.812e-04
4.040e-01,0.000e+00,2.226e-04
4.348e-01,0.000e+00,3.446e-04
4.680e-01,0.000e+00,2.713e-04
5.036e-01,0.000e+00,3.435e-04
5.421e-01,0.000e+00,5.675e-04
5.834e-01,0.000e+00,4.240e-04
6.279e-01,0.000e+00,6.011e-04
6.758e-01,0.000e+00,7.002e-04
7.273e-01,0.000e+00,7.513e-04
7.827e-01,0.000e+00,7.456e-04
8.424e-01,0.000e+00,8.231e-04
9.067e-01,0.000e+00,9.619e-04
9.758e-01,0.000e+00,8.731e-04
1.050e+00,0.000e+00,1.225e-03
1.130e+00,0.000e+00,1.062e-03
1.216e+00,0.000e+00,1.136e-03
1.309e+00,0.000e+00,1.203e-03
1.409e+00,0.000e+00,1.161e-03
1.517e+00,0.000e+00,1.385e-03
1.632e+00,0.000e+00,1.390e-03
1.757e+00,0.000e+00,1.353e-03
1.891e+00,0.000e+00,1.345e-03
2.035e+00,0.000e+00,1.286e-03
2.190e+00,0.000e+00,1.460e-03
2.357e+00,0.000e+00,1.391e-03
2.537e+00,0.000e+00,1.195e-03
2.730e+00,0.000e+00,1.400e-03
2.938e+00,0.000e+00,1.169e-03
3.162e+00,0.000e+00,1.188e-03
3.403e+00,0.000e+00,1.181e-03
3.663e+00,0.000e+00,1.239e-03
3.942e+00,0.000e+00,9.042e-04
4.243e+00,0.000e+00,9.011e-04
4.566e+00,0.000e+00,9.450e-04
4.915e+00,0.000e+00,8.132e-04
5.289e+00,0.000e+00,7.216e-04
5.693e+00,0.000e+00,5.721e-04
6.127e+00,0.000e+00,6.847e-04
6.594e+00,0.000e+00,6.477e-04
7.097e+00,0.000e+00,5.619e-04
7.638e+00,0.000e+00,4.544e-04
8.220e+00,0.000e+00,4.871e-04
8.847e+00,0.000e+00,4.332e-04
9.522e+00,0.000e+00,3.798e-04
1.025e+01,0.000e+00,3.451e-04
1.103e+01,0.000e+00,3.373e-04
1.187e+01,0.000e+00,3.045e-04
1.278e+01,0.000e+00,3.072e-04
1.375e+01,0.000e+00,1.799e-04
1.480e+01,0.000e+00,1.743e-04
1.593e+01,0.000e+00,1.892e-04
1.714e+01,0.000e+00,1.199e-04
1.845e+01,0.000e+00,1.281e-04
1.986e+01,0.000e+00,9.372e-05
2.137e+01,0.000e+00,1.291e-04
2.300e+01,0.000e+00,8.630e-05
2.475e+01,0.000e+00,5.818e-05
2.664e+01,0.000e+00,7.819e-05
2.867e+01,0.000e+00,4.203e-05
3.086e+01,0.000e+00,3.029e-05
3.321e+01,0.000e+00,4.922e-05
3.574e+01,0.000e+00,4.886e-05
3.847e+01,0.000e+00,5.612e-05
4.140e+01,0.000e+00,3.780e-05
4.456e+01,0.000e+00,1.222e-05
4.796e+01,0.000e+00,7.462e-05
5.161e+01,0.000e+00,1.508e-05
5.555e+01,0.000e+00,3.265e-05
5.979e+01,0.000e+00,1.379e-05
6.434e+01,0.000e+00,1.794e-05
6.925e+01,0.000e+00,1.307e-05
7.453e+01,0.000e+00,8.719e-06
8.021e+01,0.000e+00,1.248e-05
8.633e+01,0.000e+00,6.141e-06
9.291e+01,0.000e+00,2.017e-05
1.000e+02,0.000e+00,6.912e-06
