# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_01/ddmH_500_244_194_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,4.099e-06
1.076e-01,0.000e+00,6.767e-07
1.158e-01,0.000e+00,3.253e-07
1.247e-01,0.000e+00,9.972e-06
1.342e-01,0.000e+00,3.253e-07
1.444e-01,0.000e+00,5.063e-06
1.554e-01,0.000e+00,3.404e-07
1.673e-01,0.000e+00,6.520e-07
1.800e-01,0.000e+00,1.244e-05
1.937e-01,0.000e+00,9.233e-06
2.085e-01,0.000e+00,8.313e-06
2.244e-01,0.000e+00,1.196e-05
2.415e-01,0.000e+00,2.302e-05
2.600e-01,0.000e+00,7.345e-05
2.798e-01,0.000e+00,2.635e-05
3.011e-01,0.000e+00,2.658e-05
3.241e-01,0.000e+00,7.849e-05
3.488e-01,0.000e+00,5.017e-05
3.754e-01,0.000e+00,6.695e-05
4.040e-01,0.000e+00,5.386e-05
4.348e-01,0.000e+00,3.753e-05
4.680e-01,0.000e+00,5.791e-05
5.036e-01,0.000e+00,4.283e-05
5.421e-01,0.000e+00,5.204e-05
5.834e-01,0.000e+00,5.765e-05
6.279e-01,0.000e+00,7.894e-05
6.758e-01,0.000e+00,1.221e-04
7.273e-01,0.000e+00,8.363e-05
7.827e-01,0.000e+00,1.196e-04
8.424e-01,0.000e+00,5.843e-05
9.067e-01,0.000e+00,1.053e-04
9.758e-01,0.000e+00,9.529e-05
1.050e+00,0.000e+00,6.497e-05
1.130e+00,0.000e+00,8.213e-05
1.216e+00,0.000e+00,8.594e-05
1.309e+00,0.000e+00,6.649e-05
1.409e+00,0.000e+00,5.618e-05
1.517e+00,0.000e+00,5.570e-05
1.632e+00,0.000e+00,9.563e-05
1.757e+00,0.000e+00,3.406e-05
1.891e+00,0.000e+00,6.956e-05
2.035e+00,0.000e+00,8.501e-05
2.190e+00,0.000e+00,6.546e-05
2.357e+00,0.000e+00,2.718e-05
2.537e+00,0.000e+00,6.083e-05
2.730e+00,0.000e+00,2.708e-05
2.938e+00,0.000e+00,2.665e-05
3.162e+00,0.000e+00,5.787e-05
3.403e+00,0.000e+00,5.726e-05
3.663e+00,0.000e+00,1.988e-05
3.942e+00,0.000e+00,1.806e-05
4.243e+00,0.000e+00,2.607e-05
4.566e+00,0.000e+00,1.974e-05
4.915e+00,0.000e+00,4.203e-05
5.289e+00,0.000e+00,9.668e-06
5.693e+00,0.000e+00,5.979e-06
6.127e+00,0.000e+00,2.619e-05
6.594e+00,0.000e+00,7.341e-06
7.097e+00,0.000e+00,2.869e-05
7.638e+00,0.000e+00,1.427e-05
8.220e+00,0.000e+00,1.976e-05
8.847e+00,0.000e+00,2.114e-05
9.522e+00,0.000e+00,3.014e-06
1.025e+01,0.000e+00,3.271e-05
1.103e+01,0.000e+00,4.494e-06
1.187e+01,0.000e+00,2.898e-06
1.278e+01,0.000e+00,2.255e-05
1.375e+01,0.000e+00,1.380e-06
1.480e+01,0.000e+00,4.867e-06
1.593e+01,0.000e+00,1.050e-06
1.714e+01,0.000e+00,7.356e-07
1.845e+01,0.000e+00,3.855e-07
1.986e+01,0.000e+00,4.413e-06
2.137e+01,0.000e+00,7.007e-07
2.300e+01,0.000e+00,3.228e-07
2.475e+01,0.000e+00,1.953e-06
2.664e+01,0.000e+00,4.298e-07
2.867e+01,0.000e+00,9.567e-07
3.086e+01,0.000e+00,1.611e-07
3.321e+01,0.000e+00,2.907e-06
3.574e+01,0.000e+00,3.764e-07
3.847e+01,0.000e+00,6.820e-06
4.140e+01,0.000e+00,1.379e-09
4.456e+01,0.000e+00,4.353e-06
4.796e+01,0.000e+00,4.765e-07
5.161e+01,0.000e+00,1.251e-07
5.555e+01,0.000e+00,0.000e+00
5.979e+01,0.000e+00,7.057e-08
6.434e+01,0.000e+00,9.317e-08
6.925e+01,0.000e+00,0.000e+00
7.453e+01,0.000e+00,1.795e-07
8.021e+01,0.000e+00,4.453e-07
8.633e+01,0.000e+00,6.150e-08
9.291e+01,0.000e+00,2.476e-08
1.000e+02,0.000e+00,5.931e-09
