# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_10/ddmH_500_244_44_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,3.336e-05
1.076e-01,0.000e+00,2.186e-05
1.158e-01,0.000e+00,4.887e-05
1.247e-01,0.000e+00,3.751e-05
1.342e-01,0.000e+00,4.174e-05
1.444e-01,0.000e+00,6.127e-05
1.554e-01,0.000e+00,4.790e-05
1.673e-01,0.000e+00,7.961e-05
1.800e-01,0.000e+00,1.579e-04
1.937e-01,0.000e+00,1.742e-04
2.085e-01,0.000e+00,2.116e-04
2.244e-01,0.000e+00,1.620e-04
2.415e-01,0.000e+00,2.665e-04
2.600e-01,0.000e+00,2.907e-04
2.798e-01,0.000e+00,3.872e-04
3.011e-01,0.000e+00,3.753e-04
3.241e-01,0.000e+00,6.017e-04
3.488e-01,0.000e+00,7.098e-04
3.754e-01,0.000e+00,8.355e-04
4.040e-01,0.000e+00,7.651e-04
4.348e-01,0.000e+00,1.042e-03
4.680e-01,0.000e+00,1.242e-03
5.036e-01,0.000e+00,1.587e-03
5.421e-01,0.000e+00,1.582e-03
5.834e-01,0.000e+00,1.879e-03
6.279e-01,0.000e+00,1.945e-03
6.758e-01,0.000e+00,2.274e-03
7.273e-01,0.000e+00,2.440e-03
7.827e-01,0.000e+00,2.770e-03
8.424e-01,0.000e+00,3.445e-03
9.067e-01,0.000e+00,3.494e-03
9.758e-01,0.000e+00,3.773e-03
1.050e+00,0.000e+00,3.769e-03
1.130e+00,0.000e+00,3.904e-03
1.216e+00,0.000e+00,4.181e-03
1.309e+00,0.000e+00,4.438e-03
1.409e+00,0.000e+00,4.929e-03
1.517e+00,0.000e+00,4.756e-03
1.632e+00,0.000e+00,4.986e-03
1.757e+00,0.000e+00,5.311e-03
1.891e+00,0.000e+00,5.465e-03
2.035e+00,0.000e+00,5.619e-03
2.190e+00,0.000e+00,5.637e-03
2.357e+00,0.000e+00,5.826e-03
2.537e+00,0.000e+00,5.959e-03
2.730e+00,0.000e+00,5.576e-03
2.938e+00,0.000e+00,5.663e-03
3.162e+00,0.000e+00,5.518e-03
3.403e+00,0.000e+00,5.602e-03
3.663e+00,0.000e+00,5.351e-03
3.942e+00,0.000e+00,5.636e-03
4.243e+00,0.000e+00,5.388e-03
4.566e+00,0.000e+00,5.248e-03
4.915e+00,0.000e+00,5.064e-03
5.289e+00,0.000e+00,5.183e-03
5.693e+00,0.000e+00,4.983e-03
6.127e+00,0.000e+00,4.628e-03
6.594e+00,0.000e+00,4.029e-03
7.097e+00,0.000e+00,4.012e-03
7.638e+00,0.000e+00,3.780e-03
8.220e+00,0.000e+00,3.799e-03
8.847e+00,0.000e+00,3.689e-03
9.522e+00,0.000e+00,3.141e-03
1.025e+01,0.000e+00,2.863e-03
1.103e+01,0.000e+00,3.077e-03
1.187e+01,0.000e+00,2.616e-03
1.278e+01,0.000e+00,2.502e-03
1.375e+01,0.000e+00,2.507e-03
1.480e+01,0.000e+00,2.103e-03
1.593e+01,0.000e+00,2.125e-03
1.714e+01,0.000e+00,1.690e-03
1.845e+01,0.000e+00,1.698e-03
1.986e+01,0.000e+00,1.636e-03
2.137e+01,0.000e+00,1.160e-03
2.300e+01,0.000e+00,1.215e-03
2.475e+01,0.000e+00,1.074e-03
2.664e+01,0.000e+00,1.057e-03
2.867e+01,0.000e+00,1.031e-03
3.086e+01,0.000e+00,7.510e-04
3.321e+01,0.000e+00,6.964e-04
3.574e+01,0.000e+00,5.408e-04
3.847e+01,0.000e+00,6.061e-04
4.140e+01,0.000e+00,4.735e-04
4.456e+01,0.000e+00,4.361e-04
4.796e+01,0.000e+00,4.113e-04
5.161e+01,0.000e+00,4.176e-04
5.555e+01,0.000e+00,3.293e-04
5.979e+01,0.000e+00,1.991e-04
6.434e+01,0.000e+00,2.562e-04
6.925e+01,0.000e+00,2.349e-04
7.453e+01,0.000e+00,1.496e-04
8.021e+01,0.000e+00,1.557e-04
8.633e+01,0.000e+00,2.166e-04
9.291e+01,0.000e+00,1.695e-04
1.000e+02,0.000e+00,1.334e-04
