# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_10/ddmH_500_244_44_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,3.805e-05
1.076e-01,0.000e+00,3.846e-05
1.158e-01,0.000e+00,3.912e-05
1.247e-01,0.000e+00,4.704e-05
1.342e-01,0.000e+00,5.807e-05
1.444e-01,0.000e+00,8.573e-05
1.554e-01,0.000e+00,8.996e-05
1.673e-01,0.000e+00,9.787e-05
1.800e-01,0.000e+00,1.226e-04
1.937e-01,0.000e+00,1.835e-04
2.085e-01,0.000e+00,2.180e-04
2.244e-01,0.000e+00,2.116e-04
2.415e-01,0.000e+00,3.399e-04
2.600e-01,0.000e+00,3.798e-04
2.798e-01,0.000e+00,5.005e-04
3.011e-01,0.000e+00,6.807e-04
3.241e-01,0.000e+00,6.048e-04
3.488e-01,0.000e+00,9.024e-04
3.754e-01,0.000e+00,9.827e-04
4.040e-01,0.000e+00,1.118e-03
4.348e-01,0.000e+00,1.448e-03
4.680e-01,0.000e+00,1.585e-03
5.036e-01,0.000e+00,1.822e-03
5.421e-01,0.000e+00,2.094e-03
5.834e-01,0.000e+00,2.408e-03
6.279e-01,0.000e+00,2.569e-03
6.758e-01,0.000e+00,2.857e-03
7.273e-01,0.000e+00,3.366e-03
7.827e-01,0.000e+00,3.558e-03
8.424e-01,0.000e+00,3.825e-03
9.067e-01,0.000e+00,4.307e-03
9.758e-01,0.000e+00,4.552e-03
1.050e+00,0.000e+00,4.963e-03
1.130e+00,0.000e+00,5.333e-03
1.216e+00,0.000e+00,5.508e-03
1.309e+00,0.000e+00,5.449e-03
1.409e+00,0.000e+00,5.843e-03
1.517e+00,0.000e+00,6.152e-03
1.632e+00,0.000e+00,6.571e-03
1.757e+00,0.000e+00,6.487e-03
1.891e+00,0.000e+00,6.942e-03
2.035e+00,0.000e+00,6.625e-03
2.190e+00,0.000e+00,7.184e-03
2.357e+00,0.000e+00,7.396e-03
2.537e+00,0.000e+00,7.163e-03
2.730e+00,0.000e+00,7.132e-03
2.938e+00,0.000e+00,6.800e-03
3.162e+00,0.000e+00,7.041e-03
3.403e+00,0.000e+00,6.713e-03
3.663e+00,0.000e+00,7.032e-03
3.942e+00,0.000e+00,7.099e-03
4.243e+00,0.000e+00,6.464e-03
4.566e+00,0.000e+00,6.691e-03
4.915e+00,0.000e+00,6.450e-03
5.289e+00,0.000e+00,6.265e-03
5.693e+00,0.000e+00,5.876e-03
6.127e+00,0.000e+00,5.530e-03
6.594e+00,0.000e+00,5.156e-03
7.097e+00,0.000e+00,4.921e-03
7.638e+00,0.000e+00,4.898e-03
8.220e+00,0.000e+00,4.753e-03
8.847e+00,0.000e+00,4.454e-03
9.522e+00,0.000e+00,4.032e-03
1.025e+01,0.000e+00,3.614e-03
1.103e+01,0.000e+00,3.598e-03
1.187e+01,0.000e+00,3.354e-03
1.278e+01,0.000e+00,3.329e-03
1.375e+01,0.000e+00,2.782e-03
1.480e+01,0.000e+00,2.846e-03
1.593e+01,0.000e+00,2.712e-03
1.714e+01,0.000e+00,2.272e-03
1.845e+01,0.000e+00,1.887e-03
1.986e+01,0.000e+00,1.698e-03
2.137e+01,0.000e+00,1.730e-03
2.300e+01,0.000e+00,1.448e-03
2.475e+01,0.000e+00,1.452e-03
2.664e+01,0.000e+00,1.151e-03
2.867e+01,0.000e+00,1.108e-03
3.086e+01,0.000e+00,9.428e-04
3.321e+01,0.000e+00,8.364e-04
3.574e+01,0.000e+00,7.686e-04
3.847e+01,0.000e+00,7.072e-04
4.140e+01,0.000e+00,6.309e-04
4.456e+01,0.000e+00,5.953e-04
4.796e+01,0.000e+00,5.106e-04
5.161e+01,0.000e+00,3.749e-04
5.555e+01,0.000e+00,3.864e-04
5.979e+01,0.000e+00,3.710e-04
6.434e+01,0.000e+00,3.239e-04
6.925e+01,0.000e+00,2.688e-04
7.453e+01,0.000e+00,2.445e-04
8.021e+01,0.000e+00,2.283e-04
8.633e+01,0.000e+00,2.330e-04
9.291e+01,0.000e+00,1.613e-04
1.000e+02,0.000e+00,1.723e-04
