# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_02/ddmH_1000_489_439_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,1.629e-07
1.076e-01,0.000e+00,1.629e-07
1.158e-01,0.000e+00,1.629e-07
1.247e-01,0.000e+00,1.629e-07
1.342e-01,0.000e+00,1.629e-07
1.444e-01,0.000e+00,1.629e-07
1.554e-01,0.000e+00,4.110e-07
1.673e-01,0.000e+00,2.437e-07
1.800e-01,0.000e+00,3.956e-06
1.937e-01,0.000e+00,4.681e-06
2.085e-01,0.000e+00,5.386e-07
2.244e-01,0.000e+00,1.551e-05
2.415e-01,0.000e+00,2.405e-06
2.600e-01,0.000e+00,1.615e-05
2.798e-01,0.000e+00,3.268e-06
3.011e-01,0.000e+00,1.056e-05
3.241e-01,0.000e+00,3.131e-05
3.488e-01,0.000e+00,2.559e-05
3.754e-01,0.000e+00,2.625e-05
4.040e-01,0.000e+00,3.043e-05
4.348e-01,0.000e+00,3.356e-05
4.680e-01,0.000e+00,4.962e-05
5.036e-01,0.000e+00,3.195e-05
5.421e-01,0.000e+00,7.894e-05
5.834e-01,0.000e+00,5.598e-05
6.279e-01,0.000e+00,7.832e-05
6.758e-01,0.000e+00,5.699e-05
7.273e-01,0.000e+00,7.293e-05
7.827e-01,0.000e+00,6.309e-05
8.424e-01,0.000e+00,8.240e-05
9.067e-01,0.000e+00,1.151e-04
9.758e-01,0.000e+00,8.995e-05
1.050e+00,0.000e+00,9.136e-05
1.130e+00,0.000e+00,7.767e-05
1.216e+00,0.000e+00,6.899e-05
1.309e+00,0.000e+00,1.062e-04
1.409e+00,0.000e+00,6.993e-05
1.517e+00,0.000e+00,4.682e-05
1.632e+00,0.000e+00,5.519e-05
1.757e+00,0.000e+00,5.162e-05
1.891e+00,0.000e+00,4.929e-05
2.035e+00,0.000e+00,8.303e-05
2.190e+00,0.000e+00,6.091e-05
2.357e+00,0.000e+00,8.255e-05
2.537e+00,0.000e+00,6.190e-05
2.730e+00,0.000e+00,4.871e-05
2.938e+00,0.000e+00,7.709e-05
3.162e+00,0.000e+00,2.652e-05
3.403e+00,0.000e+00,5.681e-05
3.663e+00,0.000e+00,1.879e-05
3.942e+00,0.000e+00,2.674e-05
4.243e+00,0.000e+00,3.340e-05
4.566e+00,0.000e+00,3.368e-05
4.915e+00,0.000e+00,3.485e-05
5.289e+00,0.000e+00,1.219e-05
5.693e+00,0.000e+00,8.425e-06
6.127e+00,0.000e+00,9.678e-06
6.594e+00,0.000e+00,1.418e-05
7.097e+00,0.000e+00,1.078e-05
7.638e+00,0.000e+00,1.691e-05
8.220e+00,0.000e+00,3.337e-05
8.847e+00,0.000e+00,2.518e-06
9.522e+00,0.000e+00,3.110e-06
1.025e+01,0.000e+00,7.806e-06
1.103e+01,0.000e+00,4.068e-06
1.187e+01,0.000e+00,3.920e-06
1.278e+01,0.000e+00,1.271e-06
1.375e+01,0.000e+00,1.255e-05
1.480e+01,0.000e+00,2.225e-06
1.593e+01,0.000e+00,1.467e-06
1.714e+01,0.000e+00,1.657e-06
1.845e+01,0.000e+00,2.460e-06
1.986e+01,0.000e+00,1.518e-06
2.137e+01,0.000e+00,1.310e-05
2.300e+01,0.000e+00,2.263e-06
2.475e+01,0.000e+00,1.295e-06
2.664e+01,0.000e+00,8.291e-07
2.867e+01,0.000e+00,4.741e-07
3.086e+01,0.000e+00,3.910e-07
3.321e+01,0.000e+00,3.829e-06
3.574e+01,0.000e+00,7.354e-07
3.847e+01,0.000e+00,4.889e-07
4.140e+01,0.000e+00,1.996e-06
4.456e+01,0.000e+00,8.628e-07
4.796e+01,0.000e+00,4.727e-08
5.161e+01,0.000e+00,1.519e-06
5.555e+01,0.000e+00,1.095e-08
5.979e+01,0.000e+00,2.068e-07
6.434e+01,0.000e+00,8.933e-07
6.925e+01,0.000e+00,2.621e-08
7.453e+01,0.000e+00,4.739e-07
8.021e+01,0.000e+00,4.588e-07
8.633e+01,0.000e+00,0.000e+00
9.291e+01,0.000e+00,8.914e-08
1.000e+02,0.000e+00,4.727e-08
