# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_11/ddmH_1000_489_289_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,3.672e-05
1.076e-01,0.000e+00,3.415e-05
1.158e-01,0.000e+00,3.415e-05
1.247e-01,0.000e+00,3.741e-05
1.342e-01,0.000e+00,3.935e-05
1.444e-01,0.000e+00,5.160e-05
1.554e-01,0.000e+00,7.732e-05
1.673e-01,0.000e+00,6.033e-05
1.800e-01,0.000e+00,6.899e-05
1.937e-01,0.000e+00,1.301e-04
2.085e-01,0.000e+00,1.401e-04
2.244e-01,0.000e+00,1.863e-04
2.415e-01,0.000e+00,2.079e-04
2.600e-01,0.000e+00,3.024e-04
2.798e-01,0.000e+00,2.744e-04
3.011e-01,0.000e+00,4.240e-04
3.241e-01,0.000e+00,4.471e-04
3.488e-01,0.000e+00,6.730e-04
3.754e-01,0.000e+00,8.118e-04
4.040e-01,0.000e+00,9.186e-04
4.348e-01,0.000e+00,1.113e-03
4.680e-01,0.000e+00,1.465e-03
5.036e-01,0.000e+00,1.479e-03
5.421e-01,0.000e+00,2.023e-03
5.834e-01,0.000e+00,2.142e-03
6.279e-01,0.000e+00,2.658e-03
6.758e-01,0.000e+00,3.008e-03
7.273e-01,0.000e+00,3.749e-03
7.827e-01,0.000e+00,4.037e-03
8.424e-01,0.000e+00,4.504e-03
9.067e-01,0.000e+00,5.318e-03
9.758e-01,0.000e+00,6.075e-03
1.050e+00,0.000e+00,6.400e-03
1.130e+00,0.000e+00,7.359e-03
1.216e+00,0.000e+00,7.747e-03
1.309e+00,0.000e+00,8.512e-03
1.409e+00,0.000e+00,9.495e-03
1.517e+00,0.000e+00,1.027e-02
1.632e+00,0.000e+00,1.081e-02
1.757e+00,0.000e+00,1.146e-02
1.891e+00,0.000e+00,1.175e-02
2.035e+00,0.000e+00,1.298e-02
2.190e+00,0.000e+00,1.337e-02
2.357e+00,0.000e+00,1.333e-02
2.537e+00,0.000e+00,1.461e-02
2.730e+00,0.000e+00,1.431e-02
2.938e+00,0.000e+00,1.528e-02
3.162e+00,0.000e+00,1.534e-02
3.403e+00,0.000e+00,1.605e-02
3.663e+00,0.000e+00,1.597e-02
3.942e+00,0.000e+00,1.615e-02
4.243e+00,0.000e+00,1.642e-02
4.566e+00,0.000e+00,1.632e-02
4.915e+00,0.000e+00,1.551e-02
5.289e+00,0.000e+00,1.608e-02
5.693e+00,0.000e+00,1.599e-02
6.127e+00,0.000e+00,1.556e-02
6.594e+00,0.000e+00,1.475e-02
7.097e+00,0.000e+00,1.492e-02
7.638e+00,0.000e+00,1.375e-02
8.220e+00,0.000e+00,1.361e-02
8.847e+00,0.000e+00,1.369e-02
9.522e+00,0.000e+00,1.273e-02
1.025e+01,0.000e+00,1.239e-02
1.103e+01,0.000e+00,1.152e-02
1.187e+01,0.000e+00,1.118e-02
1.278e+01,0.000e+00,1.036e-02
1.375e+01,0.000e+00,1.040e-02
1.480e+01,0.000e+00,9.120e-03
1.593e+01,0.000e+00,8.561e-03
1.714e+01,0.000e+00,7.989e-03
1.845e+01,0.000e+00,7.656e-03
1.986e+01,0.000e+00,6.975e-03
2.137e+01,0.000e+00,6.417e-03
2.300e+01,0.000e+00,6.167e-03
2.475e+01,0.000e+00,5.431e-03
2.664e+01,0.000e+00,5.018e-03
2.867e+01,0.000e+00,4.313e-03
3.086e+01,0.000e+00,4.373e-03
3.321e+01,0.000e+00,4.173e-03
3.574e+01,0.000e+00,3.375e-03
3.847e+01,0.000e+00,3.293e-03
4.140e+01,0.000e+00,2.894e-03
4.456e+01,0.000e+00,2.550e-03
4.796e+01,0.000e+00,2.315e-03
5.161e+01,0.000e+00,2.102e-03
5.555e+01,0.000e+00,1.808e-03
5.979e+01,0.000e+00,1.739e-03
6.434e+01,0.000e+00,1.700e-03
6.925e+01,0.000e+00,1.368e-03
7.453e+01,0.000e+00,1.213e-03
8.021e+01,0.000e+00,9.202e-04
8.633e+01,0.000e+00,9.243e-04
9.291e+01,0.000e+00,8.920e-04
1.000e+02,0.000e+00,7.514e-04
