# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_15/ddmH_1500_734_434_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,2.233e-05
1.076e-01,0.000e+00,2.233e-05
1.158e-01,0.000e+00,2.407e-05
1.247e-01,0.000e+00,2.233e-05
1.342e-01,0.000e+00,2.233e-05
1.444e-01,0.000e+00,2.358e-05
1.554e-01,0.000e+00,2.892e-05
1.673e-01,0.000e+00,2.649e-05
1.800e-01,0.000e+00,3.780e-05
1.937e-01,0.000e+00,4.493e-05
2.085e-01,0.000e+00,5.536e-05
2.244e-01,0.000e+00,7.209e-05
2.415e-01,0.000e+00,9.011e-05
2.600e-01,0.000e+00,9.845e-05
2.798e-01,0.000e+00,1.622e-04
3.011e-01,0.000e+00,1.568e-04
3.241e-01,0.000e+00,2.227e-04
3.488e-01,0.000e+00,3.161e-04
3.754e-01,0.000e+00,6.096e-04
4.040e-01,0.000e+00,5.761e-04
4.348e-01,0.000e+00,8.689e-04
4.680e-01,0.000e+00,9.892e-04
5.036e-01,0.000e+00,1.145e-03
5.421e-01,0.000e+00,1.652e-03
5.834e-01,0.000e+00,2.018e-03
6.279e-01,0.000e+00,2.167e-03
6.758e-01,0.000e+00,2.664e-03
7.273e-01,0.000e+00,3.331e-03
7.827e-01,0.000e+00,3.645e-03
8.424e-01,0.000e+00,4.442e-03
9.067e-01,0.000e+00,4.997e-03
9.758e-01,0.000e+00,5.745e-03
1.050e+00,0.000e+00,6.989e-03
1.130e+00,0.000e+00,7.387e-03
1.216e+00,0.000e+00,7.961e-03
1.309e+00,0.000e+00,9.351e-03
1.409e+00,0.000e+00,9.956e-03
1.517e+00,0.000e+00,1.111e-02
1.632e+00,0.000e+00,1.240e-02
1.757e+00,0.000e+00,1.275e-02
1.891e+00,0.000e+00,1.412e-02
2.035e+00,0.000e+00,1.479e-02
2.190e+00,0.000e+00,1.574e-02
2.357e+00,0.000e+00,1.632e-02
2.537e+00,0.000e+00,1.788e-02
2.730e+00,0.000e+00,1.779e-02
2.938e+00,0.000e+00,1.902e-02
3.162e+00,0.000e+00,1.939e-02
3.403e+00,0.000e+00,2.032e-02
3.663e+00,0.000e+00,2.061e-02
3.942e+00,0.000e+00,2.091e-02
4.243e+00,0.000e+00,2.083e-02
4.566e+00,0.000e+00,2.078e-02
4.915e+00,0.000e+00,2.086e-02
5.289e+00,0.000e+00,2.023e-02
5.693e+00,0.000e+00,1.997e-02
6.127e+00,0.000e+00,1.962e-02
6.594e+00,0.000e+00,2.006e-02
7.097e+00,0.000e+00,1.857e-02
7.638e+00,0.000e+00,1.829e-02
8.220e+00,0.000e+00,1.760e-02
8.847e+00,0.000e+00,1.729e-02
9.522e+00,0.000e+00,1.650e-02
1.025e+01,0.000e+00,1.577e-02
1.103e+01,0.000e+00,1.487e-02
1.187e+01,0.000e+00,1.383e-02
1.278e+01,0.000e+00,1.347e-02
1.375e+01,0.000e+00,1.262e-02
1.480e+01,0.000e+00,1.048e-02
1.593e+01,0.000e+00,1.040e-02
1.714e+01,0.000e+00,9.794e-03
1.845e+01,0.000e+00,9.241e-03
1.986e+01,0.000e+00,8.406e-03
2.137e+01,0.000e+00,8.203e-03
2.300e+01,0.000e+00,6.959e-03
2.475e+01,0.000e+00,6.648e-03
2.664e+01,0.000e+00,5.759e-03
2.867e+01,0.000e+00,5.084e-03
3.086e+01,0.000e+00,5.113e-03
3.321e+01,0.000e+00,4.759e-03
3.574e+01,0.000e+00,4.049e-03
3.847e+01,0.000e+00,3.625e-03
4.140e+01,0.000e+00,3.650e-03
4.456e+01,0.000e+00,3.095e-03
4.796e+01,0.000e+00,2.591e-03
5.161e+01,0.000e+00,2.420e-03
5.555e+01,0.000e+00,2.114e-03
5.979e+01,0.000e+00,1.905e-03
6.434e+01,0.000e+00,1.497e-03
6.925e+01,0.000e+00,1.424e-03
7.453e+01,0.000e+00,1.341e-03
8.021e+01,0.000e+00,1.072e-03
8.633e+01,0.000e+00,1.137e-03
9.291e+01,0.000e+00,8.506e-04
1.000e+02,0.000e+00,7.272e-04
