# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_02/ddmH_1000_489_439_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,1.049e-06
1.076e-01,0.000e+00,1.173e-06
1.158e-01,0.000e+00,4.636e-06
1.247e-01,0.000e+00,1.171e-06
1.342e-01,0.000e+00,5.077e-06
1.444e-01,0.000e+00,1.112e-06
1.554e-01,0.000e+00,6.501e-06
1.673e-01,0.000e+00,1.668e-06
1.800e-01,0.000e+00,7.577e-06
1.937e-01,0.000e+00,2.093e-05
2.085e-01,0.000e+00,4.013e-06
2.244e-01,0.000e+00,9.467e-06
2.415e-01,0.000e+00,2.492e-05
2.600e-01,0.000e+00,3.276e-05
2.798e-01,0.000e+00,1.867e-05
3.011e-01,0.000e+00,3.016e-05
3.241e-01,0.000e+00,3.200e-05
3.488e-01,0.000e+00,3.129e-05
3.754e-01,0.000e+00,5.235e-05
4.040e-01,0.000e+00,5.234e-05
4.348e-01,0.000e+00,7.377e-05
4.680e-01,0.000e+00,8.856e-05
5.036e-01,0.000e+00,7.590e-05
5.421e-01,0.000e+00,1.135e-04
5.834e-01,0.000e+00,1.399e-04
6.279e-01,0.000e+00,1.879e-04
6.758e-01,0.000e+00,1.073e-04
7.273e-01,0.000e+00,1.533e-04
7.827e-01,0.000e+00,1.367e-04
8.424e-01,0.000e+00,2.076e-04
9.067e-01,0.000e+00,2.049e-04
9.758e-01,0.000e+00,2.245e-04
1.050e+00,0.000e+00,1.606e-04
1.130e+00,0.000e+00,1.938e-04
1.216e+00,0.000e+00,1.872e-04
1.309e+00,0.000e+00,2.563e-04
1.409e+00,0.000e+00,1.816e-04
1.517e+00,0.000e+00,2.030e-04
1.632e+00,0.000e+00,2.087e-04
1.757e+00,0.000e+00,1.624e-04
1.891e+00,0.000e+00,1.959e-04
2.035e+00,0.000e+00,1.432e-04
2.190e+00,0.000e+00,1.547e-04
2.357e+00,0.000e+00,1.866e-04
2.537e+00,0.000e+00,1.224e-04
2.730e+00,0.000e+00,1.402e-04
2.938e+00,0.000e+00,1.209e-04
3.162e+00,0.000e+00,1.068e-04
3.403e+00,0.000e+00,1.085e-04
3.663e+00,0.000e+00,1.266e-04
3.942e+00,0.000e+00,7.049e-05
4.243e+00,0.000e+00,8.758e-05
4.566e+00,0.000e+00,9.278e-05
4.915e+00,0.000e+00,7.074e-05
5.289e+00,0.000e+00,5.824e-05
5.693e+00,0.000e+00,4.795e-05
6.127e+00,0.000e+00,5.420e-05
6.594e+00,0.000e+00,4.116e-05
7.097e+00,0.000e+00,3.831e-05
7.638e+00,0.000e+00,4.744e-05
8.220e+00,0.000e+00,3.128e-05
8.847e+00,0.000e+00,2.362e-05
9.522e+00,0.000e+00,4.926e-05
1.025e+01,0.000e+00,2.473e-05
1.103e+01,0.000e+00,4.168e-05
1.187e+01,0.000e+00,2.312e-05
1.278e+01,0.000e+00,8.220e-06
1.375e+01,0.000e+00,5.143e-05
1.480e+01,0.000e+00,6.862e-06
1.593e+01,0.000e+00,1.398e-05
1.714e+01,0.000e+00,1.200e-05
1.845e+01,0.000e+00,1.487e-05
1.986e+01,0.000e+00,6.236e-06
2.137e+01,0.000e+00,6.196e-06
2.300e+01,0.000e+00,4.696e-06
2.475e+01,0.000e+00,3.728e-06
2.664e+01,0.000e+00,8.635e-06
2.867e+01,0.000e+00,2.866e-06
3.086e+01,0.000e+00,3.354e-06
3.321e+01,0.000e+00,1.802e-06
3.574e+01,0.000e+00,3.311e-06
3.847e+01,0.000e+00,2.729e-06
4.140e+01,0.000e+00,2.730e-06
4.456e+01,0.000e+00,4.850e-06
4.796e+01,0.000e+00,1.721e-06
5.161e+01,0.000e+00,1.068e-06
5.555e+01,0.000e+00,4.692e-07
5.979e+01,0.000e+00,5.476e-07
6.434e+01,0.000e+00,1.605e-06
6.925e+01,0.000e+00,1.519e-05
7.453e+01,0.000e+00,2.795e-06
8.021e+01,0.000e+00,1.127e-06
8.633e+01,0.000e+00,3.310e-07
9.291e+01,0.000e+00,5.977e-07
1.000e+02,0.000e+00,9.412e-07
