# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_08/ddmH_1000_489_389_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,9.658e-06
1.076e-01,0.000e+00,9.658e-06
1.158e-01,0.000e+00,9.658e-06
1.247e-01,0.000e+00,2.126e-05
1.342e-01,0.000e+00,1.075e-05
1.444e-01,0.000e+00,1.889e-05
1.554e-01,0.000e+00,2.225e-05
1.673e-01,0.000e+00,2.423e-05
1.800e-01,0.000e+00,2.765e-05
1.937e-01,0.000e+00,3.574e-05
2.085e-01,0.000e+00,5.060e-05
2.244e-01,0.000e+00,9.818e-05
2.415e-01,0.000e+00,8.377e-05
2.600e-01,0.000e+00,9.427e-05
2.798e-01,0.000e+00,1.262e-04
3.011e-01,0.000e+00,1.680e-04
3.241e-01,0.000e+00,2.447e-04
3.488e-01,0.000e+00,2.611e-04
3.754e-01,0.000e+00,2.989e-04
4.040e-01,0.000e+00,2.909e-04
4.348e-01,0.000e+00,5.358e-04
4.680e-01,0.000e+00,5.511e-04
5.036e-01,0.000e+00,5.788e-04
5.421e-01,0.000e+00,8.119e-04
5.834e-01,0.000e+00,8.404e-04
6.279e-01,0.000e+00,1.209e-03
6.758e-01,0.000e+00,1.066e-03
7.273e-01,0.000e+00,1.315e-03
7.827e-01,0.000e+00,1.524e-03
8.424e-01,0.000e+00,1.700e-03
9.067e-01,0.000e+00,1.706e-03
9.758e-01,0.000e+00,1.848e-03
1.050e+00,0.000e+00,1.937e-03
1.130e+00,0.000e+00,2.139e-03
1.216e+00,0.000e+00,2.287e-03
1.309e+00,0.000e+00,2.337e-03
1.409e+00,0.000e+00,2.429e-03
1.517e+00,0.000e+00,2.682e-03
1.632e+00,0.000e+00,2.656e-03
1.757e+00,0.000e+00,2.961e-03
1.891e+00,0.000e+00,2.615e-03
2.035e+00,0.000e+00,2.812e-03
2.190e+00,0.000e+00,2.772e-03
2.357e+00,0.000e+00,2.857e-03
2.537e+00,0.000e+00,2.762e-03
2.730e+00,0.000e+00,2.498e-03
2.938e+00,0.000e+00,2.540e-03
3.162e+00,0.000e+00,2.578e-03
3.403e+00,0.000e+00,2.236e-03
3.663e+00,0.000e+00,2.246e-03
3.942e+00,0.000e+00,2.065e-03
4.243e+00,0.000e+00,1.998e-03
4.566e+00,0.000e+00,1.695e-03
4.915e+00,0.000e+00,1.780e-03
5.289e+00,0.000e+00,1.675e-03
5.693e+00,0.000e+00,1.503e-03
6.127e+00,0.000e+00,1.460e-03
6.594e+00,0.000e+00,1.213e-03
7.097e+00,0.000e+00,1.150e-03
7.638e+00,0.000e+00,1.131e-03
8.220e+00,0.000e+00,9.941e-04
8.847e+00,0.000e+00,8.874e-04
9.522e+00,0.000e+00,8.490e-04
1.025e+01,0.000e+00,7.728e-04
1.103e+01,0.000e+00,7.004e-04
1.187e+01,0.000e+00,5.342e-04
1.278e+01,0.000e+00,6.022e-04
1.375e+01,0.000e+00,4.719e-04
1.480e+01,0.000e+00,5.038e-04
1.593e+01,0.000e+00,4.087e-04
1.714e+01,0.000e+00,3.461e-04
1.845e+01,0.000e+00,2.727e-04
1.986e+01,0.000e+00,3.379e-04
2.137e+01,0.000e+00,2.778e-04
2.300e+01,0.000e+00,2.476e-04
2.475e+01,0.000e+00,2.093e-04
2.664e+01,0.000e+00,1.924e-04
2.867e+01,0.000e+00,1.725e-04
3.086e+01,0.000e+00,1.662e-04
3.321e+01,0.000e+00,1.451e-04
3.574e+01,0.000e+00,1.188e-04
3.847e+01,0.000e+00,6.134e-05
4.140e+01,0.000e+00,7.452e-05
4.456e+01,0.000e+00,7.934e-05
4.796e+01,0.000e+00,8.351e-05
5.161e+01,0.000e+00,4.726e-05
5.555e+01,0.000e+00,6.776e-05
5.979e+01,0.000e+00,4.174e-05
6.434e+01,0.000e+00,6.340e-05
6.925e+01,0.000e+00,2.917e-05
7.453e+01,0.000e+00,4.665e-05
8.021e+01,0.000e+00,4.057e-05
8.633e+01,0.000e+00,1.513e-05
9.291e+01,0.000e+00,1.364e-05
1.000e+02,0.000e+00,1.844e-05
