# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_11/ddmH_1000_489_289_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,1.465e-05
1.076e-01,0.000e+00,1.465e-05
1.158e-01,0.000e+00,3.017e-05
1.247e-01,0.000e+00,2.862e-05
1.342e-01,0.000e+00,2.772e-05
1.444e-01,0.000e+00,2.043e-05
1.554e-01,0.000e+00,2.901e-05
1.673e-01,0.000e+00,3.577e-05
1.800e-01,0.000e+00,3.589e-05
1.937e-01,0.000e+00,5.920e-05
2.085e-01,0.000e+00,7.534e-05
2.244e-01,0.000e+00,1.063e-04
2.415e-01,0.000e+00,1.368e-04
2.600e-01,0.000e+00,1.293e-04
2.798e-01,0.000e+00,1.720e-04
3.011e-01,0.000e+00,2.873e-04
3.241e-01,0.000e+00,2.345e-04
3.488e-01,0.000e+00,5.004e-04
3.754e-01,0.000e+00,3.986e-04
4.040e-01,0.000e+00,6.353e-04
4.348e-01,0.000e+00,7.745e-04
4.680e-01,0.000e+00,9.017e-04
5.036e-01,0.000e+00,1.088e-03
5.421e-01,0.000e+00,1.126e-03
5.834e-01,0.000e+00,1.303e-03
6.279e-01,0.000e+00,1.770e-03
6.758e-01,0.000e+00,2.187e-03
7.273e-01,0.000e+00,2.193e-03
7.827e-01,0.000e+00,2.837e-03
8.424e-01,0.000e+00,2.847e-03
9.067e-01,0.000e+00,2.991e-03
9.758e-01,0.000e+00,3.555e-03
1.050e+00,0.000e+00,4.269e-03
1.130e+00,0.000e+00,4.441e-03
1.216e+00,0.000e+00,4.803e-03
1.309e+00,0.000e+00,5.140e-03
1.409e+00,0.000e+00,5.905e-03
1.517e+00,0.000e+00,6.232e-03
1.632e+00,0.000e+00,6.576e-03
1.757e+00,0.000e+00,7.204e-03
1.891e+00,0.000e+00,7.490e-03
2.035e+00,0.000e+00,7.639e-03
2.190e+00,0.000e+00,7.990e-03
2.357e+00,0.000e+00,8.588e-03
2.537e+00,0.000e+00,8.464e-03
2.730e+00,0.000e+00,8.859e-03
2.938e+00,0.000e+00,9.155e-03
3.162e+00,0.000e+00,9.561e-03
3.403e+00,0.000e+00,9.404e-03
3.663e+00,0.000e+00,1.032e-02
3.942e+00,0.000e+00,9.733e-03
4.243e+00,0.000e+00,9.510e-03
4.566e+00,0.000e+00,9.736e-03
4.915e+00,0.000e+00,9.393e-03
5.289e+00,0.000e+00,9.342e-03
5.693e+00,0.000e+00,8.867e-03
6.127e+00,0.000e+00,8.994e-03
6.594e+00,0.000e+00,8.699e-03
7.097e+00,0.000e+00,8.625e-03
7.638e+00,0.000e+00,8.424e-03
8.220e+00,0.000e+00,8.422e-03
8.847e+00,0.000e+00,7.627e-03
9.522e+00,0.000e+00,7.532e-03
1.025e+01,0.000e+00,6.856e-03
1.103e+01,0.000e+00,7.348e-03
1.187e+01,0.000e+00,6.022e-03
1.278e+01,0.000e+00,6.372e-03
1.375e+01,0.000e+00,6.099e-03
1.480e+01,0.000e+00,5.255e-03
1.593e+01,0.000e+00,5.048e-03
1.714e+01,0.000e+00,4.400e-03
1.845e+01,0.000e+00,4.447e-03
1.986e+01,0.000e+00,3.858e-03
2.137e+01,0.000e+00,3.956e-03
2.300e+01,0.000e+00,3.612e-03
2.475e+01,0.000e+00,3.101e-03
2.664e+01,0.000e+00,2.854e-03
2.867e+01,0.000e+00,2.681e-03
3.086e+01,0.000e+00,2.266e-03
3.321e+01,0.000e+00,2.291e-03
3.574e+01,0.000e+00,1.950e-03
3.847e+01,0.000e+00,1.577e-03
4.140e+01,0.000e+00,1.670e-03
4.456e+01,0.000e+00,1.557e-03
4.796e+01,0.000e+00,1.202e-03
5.161e+01,0.000e+00,1.016e-03
5.555e+01,0.000e+00,9.966e-04
5.979e+01,0.000e+00,1.014e-03
6.434e+01,0.000e+00,8.140e-04
6.925e+01,0.000e+00,7.188e-04
7.453e+01,0.000e+00,7.667e-04
8.021e+01,0.000e+00,5.765e-04
8.633e+01,0.000e+00,4.782e-04
9.291e+01,0.000e+00,4.090e-04
1.000e+02,0.000e+00,4.492e-04
