# mass[GeV],pp2s_N3LO_13.6TeV[pb]
3.000000000000000000e+01,2.930394082840237147e+01
3.500000000000000000e+01,2.007202366863905851e+01
4.000000000000000000e+01,1.476955029585798940e+01
4.500000000000000000e+01,1.146214201183432024e+01
5.000000000000000000e+01,9.247088757396451086e+00
5.500000000000000000e+01,7.680621301775148346e+00
6.000000000000000000e+01,6.523786982248521937e+00
6.500000000000000000e+01,5.636248520710059218e+00
7.000000000000000000e+01,4.934562130177514661e+00
7.500000000000000000e+01,4.365627218934911902e+00
8.000000000000000000e+01,3.899100591715976893e+00
8.500000000000000000e+01,3.509190532544378627e+00
9.000000000000000000e+01,3.177691124260355604e+00
9.500000000000000000e+01,2.892844378698224972e+00
1.000000000000000000e+02,2.646305917159763599e+00
1.050000000000000000e+02,2.431248520710059147e+00
1.100000000000000000e+02,2.241603550295858227e+00
1.150000000000000000e+02,2.073957396449704227e+00
1.200000000000000000e+02,1.925275739644970452e+00
1.250000000000000000e+02,1.792144970414201399e+00
1.300000000000000000e+02,1.673047928994083167e+00
1.350000000000000000e+02,1.565329585798816980e+00
1.400000000000000000e+02,1.468231360946745889e+00
1.450000000000000000e+02,1.380236094674556213e+00
1.500000000000000000e+02,1.300205917159763525e+00
1.600000000000000000e+02,1.160247928994083022e+00
1.700000000000000000e+02,1.042288757396449661e+00
1.800000000000000000e+02,9.425355029585800182e-01
1.900000000000000000e+02,8.575745562130178135e-01
2.000000000000000000e+02,7.851301775147929707e-01
2.100000000000000000e+02,7.220190223369886695e-01
2.200000000000000000e+02,6.673315624312464722e-01
2.300000000000000000e+02,6.195356621776538786e-01
2.400000000000000000e+02,5.786163457196124016e-01
2.500000000000000000e+02,5.430470240507648816e-01
2.600000000000000000e+02,5.120607973691220227e-01
2.700000000000000000e+02,4.856476817702845006e-01
2.800000000000000000e+02,4.630435507590408006e-01
2.900000000000000000e+02,4.442400844150581340e-01
3.000000000000000000e+02,4.288524461839531288e-01
3.100000000000000000e+02,4.179861272205434020e-01
3.200000000000000000e+02,4.112597832287507860e-01
3.300000000000000000e+02,4.093181004817620372e-01
3.400000000000000000e+02,4.175615879102290151e-01
3.500000000000000000e+02,4.502017396805314542e-01
3.600000000000000000e+02,4.663600223338918438e-01
3.700000000000000000e+02,4.670658154734763090e-01
3.800000000000000000e+02,4.572934745543787427e-01
3.900000000000000000e+02,4.404382444039244282e-01
4.000000000000000000e+02,4.194540145985402591e-01
4.100000000000000000e+02,3.959871768950745108e-01
4.200000000000000000e+02,3.716824482384677997e-01
4.300000000000000000e+02,3.470656095902506233e-01
4.400000000000000000e+02,3.228859944022552941e-01
4.500000000000000000e+02,2.996294325772918543e-01
4.600000000000000000e+02,2.774067272362933934e-01
4.700000000000000000e+02,2.564779759935192360e-01
4.800000000000000000e+02,2.368785562238649167e-01
4.900000000000000000e+02,2.186064243664724294e-01
5.000000000000000000e+02,2.015848896138207058e-01
5.500000000000000000e+02,1.340202695286056012e-01
6.000000000000000000e+02,8.954982162878402652e-02
6.500000000000000000e+02,6.058077705905288990e-02
7.000000000000000000e+02,4.152980387869082551e-02
7.500000000000000000e+02,2.885182726319408461e-02
8.000000000000000000e+02,2.033109305471542463e-02
8.500000000000000000e+02,1.450917898467439342e-02
9.000000000000000000e+02,1.047758831937471019e-02
9.500000000000000000e+02,7.660028400178120825e-03
1.000000000000000000e+03,5.652131464849800488e-03
1.050000000000000000e+03,4.217535747514087642e-03
1.100000000000000000e+03,3.172105264433751088e-03
1.150000000000000000e+03,2.407228946423042339e-03
1.200000000000000000e+03,1.841065290952998475e-03
1.250000000000000000e+03,1.417991669941061133e-03
1.300000000000000000e+03,1.099437401911079705e-03
1.350000000000000000e+03,8.576741878814640773e-04
1.400000000000000000e+03,6.731317101685071070e-04
1.450000000000000000e+03,5.314330051821541771e-04
1.500000000000000000e+03,4.215475819651803998e-04
1.550000000000000000e+03,3.364654202840408441e-04
1.600000000000000000e+03,2.696796351672505463e-04
1.650000000000000000e+03,2.172955493516520579e-04
1.700000000000000000e+03,1.757946588175590512e-04
1.750000000000000000e+03,1.426747864146162578e-04
1.800000000000000000e+03,1.162101677654440882e-04
1.850000000000000000e+03,9.508626970141231675e-05
1.900000000000000000e+03,7.803705212166107085e-05
1.950000000000000000e+03,6.422933001409716989e-05
2.000000000000000000e+03,5.304714879975576299e-05
2.050000000000000000e+03,4.387524251629638120e-05
2.100000000000000000e+03,3.640262275566975392e-05
2.150000000000000000e+03,3.028707025624066809e-05
2.200000000000000000e+03,2.528069859212719219e-05
2.250000000000000000e+03,2.113081527814719731e-05
2.300000000000000000e+03,1.769883369064731177e-05
2.350000000000000000e+03,1.486831836660641750e-05
2.400000000000000000e+03,1.252734807400595041e-05
2.450000000000000000e+03,1.056847536735957715e-05
2.500000000000000000e+03,8.923312890976536381e-06
2.550000000000000000e+03,7.562481705041814665e-06
2.600000000000000000e+03,6.440575078469678311e-06
2.650000000000000000e+03,5.481414166245967863e-06
2.700000000000000000e+03,4.674610944050572093e-06
2.750000000000000000e+03,3.985538664149784929e-06
2.800000000000000000e+03,3.421468943567681774e-06
2.850000000000000000e+03,2.923190043679624730e-06
2.900000000000000000e+03,2.521519769968612191e-06
2.950000000000000000e+03,2.158285186242015941e-06
3.000000000000000000e+03,1.860841423209464742e-06
