bin_center,normalized_count,error,bin_left_edge,bin_right_edge
2.0,0.9960620790561493,0.011005354528617431,0.0,4.0
6.0,0.0,0.0,4.0,8.0
10.0,0.0,0.0,8.0,12.0
14.0,0.0,0.0,12.0,16.0
18.0,0.0,0.0,16.0,20.0
22.0,0.000441311490470868,0.00015500502963589717,20.0,24.0
26.0,0.00026193666588011466,0.00013349278867309737,24.0,28.0
30.0,0.0005452757022567131,0.0001796067886835915,28.0,32.0
34.0,0.0005190511586073812,0.00016843495789118756,32.0,36.0
38.0,0.0005283079134168745,0.00017327485301811874,36.0,40.0
42.0,0.0005027742130684766,0.00016617722931301936,40.0,44.0
46.0,0.0003012340595592187,0.00013818792260741777,44.0,48.0
50.0,0.0,0.0,48.0,52.0
54.0,0.00022557695788937967,0.00011794840790926824,52.0,56.0
58.0,0.00019277065317293172,0.00011213654292323131,56.0,60.0
62.0,0.0001698193269118291,9.927322372951909e-05,60.0,64.0
66.0,8.279560900410933e-05,5.857416268489633e-05,64.0,68.0
70.0,4.7262777477152844e-05,4.726277747717062e-05,68.0,72.0
74.0,5.854356834431507e-05,5.8543568344337405e-05,72.0,76.0
78.0,1.2402568140642223e-05,1.2402568140875304e-05,76.0,80.0
82.0,0.0,0.0,80.0,84.0
86.0,0.0,0.0,84.0,88.0
90.0,1.0129829318662973e-05,1.0129829318191688e-05,88.0,92.0
94.0,0.0,0.0,92.0,96.0
98.0,3.872845033082973e-05,3.872845033082953e-05,96.0,100.0
