bin_center,normalized_count,error,bin_left_edge,bin_right_edge
10.0,0.13627007619425177,0.003982443820676697,0.0,20.0
30.0,0.2537021556436105,0.005569628494047156,20.0,40.0
50.0,0.19858879444415153,0.004976032834062256,40.0,60.0
70.0,0.1274504091129343,0.003985453042058402,60.0,80.0
90.0,0.07900153521727028,0.003119343081102311,80.0,100.0
110.0,0.0566634171258373,0.0026391903638501454,100.0,120.0
130.0,0.04055664014687124,0.0022089165327080886,120.0,140.0
150.0,0.02864665833701221,0.001856800509313815,140.0,160.0
170.0,0.0194145703389804,0.001471898748783159,160.0,180.0
190.0,0.014378858997251165,0.0012539359305448212,180.0,200.0
210.0,0.013503002797044451,0.0012851239930039434,200.0,220.0
230.0,0.008299599618572056,0.0009426322039763819,220.0,240.0
250.0,0.006722646922550599,0.0008700415388256808,240.0,260.0
270.0,0.005079513305791043,0.0007421895580412195,260.0,280.0
290.0,0.004313070490740006,0.0007030314942844189,280.0,300.0
