bin_center,normalized_count,error,bin_left_edge,bin_right_edge
10.0,0.1343707314460187,0.001897066830968185,0.0,20.0
30.0,0.23836944585799608,0.002526711072677667,20.0,40.0
50.0,0.19107051985965665,0.0022621798659537375,40.0,60.0
70.0,0.12724643115408307,0.001846090959133374,60.0,80.0
90.0,0.0824115488657364,0.0014856767547857261,80.0,100.0
110.0,0.057449714760157485,0.001240435619027711,100.0,120.0
130.0,0.04178161073465999,0.0010578470502788922,120.0,140.0
150.0,0.03147012347001634,0.000918077858478325,140.0,160.0
170.0,0.02338163216112703,0.0007913483516455075,160.0,180.0
190.0,0.019712349679942148,0.0007266068493050077,180.0,200.0
210.0,0.015453839355063342,0.0006433517502458319,200.0,220.0
230.0,0.011382810616814421,0.0005521474175238585,220.0,240.0
250.0,0.009829391756166804,0.0005130900731357104,240.0,260.0
270.0,0.008704502236387497,0.00048283890985670905,260.0,280.0
290.0,0.007365348046174037,0.0004441471985370276,280.0,300.0
