bin_center,normalized_count,error,bin_left_edge,bin_right_edge
2.0,0.9927178220369512,0.0050541757032622064,0.0,4.0
6.0,0.0,0.0,4.0,8.0
10.0,0.0,0.0,8.0,12.0
14.0,0.0,0.0,12.0,16.0
18.0,0.0,0.0,16.0,20.0
22.0,0.0005661057073748135,0.00012069414234530981,20.0,24.0
26.0,0.0004889094745509753,0.00011216352590038273,24.0,28.0
30.0,0.000411713241727137,0.00010292831043178426,28.0,32.0
34.0,0.0005403736297668674,0.00011791919342689105,32.0,36.0
38.0,0.0003087849312953528,8.913853160253601e-05,36.0,40.0
42.0,0.000411713241727137,0.00010292831043178426,40.0,44.0
46.0,0.0003087849312953528,8.913853160253601e-05,44.0,48.0
50.0,0.0006175698625907056,0.00012606092032232916,48.0,52.0
54.0,0.000411713241727137,0.00010292831043178426,52.0,56.0
58.0,0.0004889094745509753,0.00011216352590038273,56.0,60.0
62.0,0.00028305285368740674,8.5343646501863e-05,60.0,64.0
66.0,0.0006175698625907056,0.00012606092032232916,64.0,68.0
70.0,0.0003087849312953528,8.913853160253601e-05,68.0,72.0
74.0,0.0003087849312953528,8.913853160253601e-05,72.0,76.0
78.0,0.0004374453193350831,0.00010609607394415266,76.0,80.0
82.0,0.00025732077607946063,8.137197416932683e-05,80.0,84.0
86.0,0.00025732077607946063,8.137197416932683e-05,84.0,88.0
90.0,0.00025732077607946063,8.137197416932683e-05,88.0,92.0
94.0,0.0,0.0,92.0,96.0
98.0,0.0,0.0,96.0,100.0
