bin_center,normalized_count,error,bin_left_edge,bin_right_edge
10.0,0.11324046487908312,0.0017433993546506674,0.0,20.0
30.0,0.2185361140188421,0.0024219081419825706,20.0,40.0
50.0,0.19558740639342942,0.002291218477266612,40.0,60.0
70.0,0.13769224575247604,0.0019224311758295066,60.0,80.0
90.0,0.09149958397079744,0.0015671321445092196,80.0,100.0
110.0,0.06312907641517031,0.0013016996164996796,100.0,120.0
130.0,0.04511903803312129,0.001100464342271251,120.0,140.0
150.0,0.03325549561156293,0.0009447736482700187,140.0,160.0
170.0,0.025686448184233834,0.0008303249482383455,160.0,180.0
190.0,0.0211772284402931,0.0007539292967865442,180.0,200.0
210.0,0.015862790884934374,0.0006525080270093254,200.0,220.0
230.0,0.012131948358697695,0.0005706388497589527,220.0,240.0
250.0,0.010628875110717449,0.0005341210709969241,240.0,260.0
270.0,0.00864267117588641,0.0004816372344774502,260.0,280.0
290.0,0.0078106127707544895,0.00045786622941278095,280.0,300.0
