bin_center,normalized_count,error,bin_left_edge,bin_right_edge
2.0,0.9960620790561493,0.011005354528617431,0.0,4.0
6.0,0.0003543034064199979,0.00013750412285654974,4.0,8.0
10.0,0.00013133692833058064,6.687800403440093e-05,8.0,12.0
14.0,0.0002554280688670507,0.0001100061031676093,12.0,16.0
18.0,0.00018975510893249733,0.00011075868909487875,16.0,20.0
22.0,0.0003052325958664751,0.00013782899591468134,20.0,24.0
26.0,0.00017212155138192855,9.42451473857798e-05,24.0,28.0
30.0,0.00046577778628438093,0.00016872568018510919,28.0,32.0
34.0,0.00024209110685818435,0.00010466913426837644,32.0,36.0
38.0,0.00023241764054988102,0.00011958971262967273,36.0,40.0
42.0,0.0004355531017192548,0.000166691211946798,40.0,44.0
46.0,0.00040691234130800383,0.00015774610070062208,44.0,48.0
50.0,0.0002314883018498739,0.0001233151839972007,48.0,52.0
54.0,0.00030909904116082905,0.00014263173997875633,52.0,56.0
58.0,5.119169632899329e-05,5.1191696328974216e-05,56.0,60.0
62.0,0.0,0.0,60.0,64.0
66.0,9.395142020143317e-05,6.670868364215254e-05,64.0,68.0
70.0,1.2402568140642223e-05,1.2402568140875304e-05,68.0,72.0
74.0,1.0129829318662973e-05,1.0129829318191688e-05,72.0,76.0
78.0,0.0,0.0,76.0,80.0
82.0,0.0,0.0,80.0,84.0
86.0,0.0,0.0,84.0,88.0
90.0,0.0,0.0,88.0,92.0
94.0,3.872845033082973e-05,3.872845033082953e-05,92.0,96.0
98.0,0.0,0.0,96.0,100.0
