#run_name            mass#55              cross                
run_01               2.000000e+02         3.263600e-01         
run_02               3.000000e+02         1.731300e-01         
run_03               3.200000e+02         1.648100e-01         
run_04               3.300000e+02         1.638400e-01         
run_05               3.400000e+02         1.665600e-01         
run_06               3.500000e+02         1.780800e-01         
run_07               3.600000e+02         1.848800e-01         
run_08               3.700000e+02         1.851100e-01         
run_09               3.800000e+02         1.814400e-01         
run_10               4.000000e+02         1.668000e-01         
run_11               5.000000e+02         8.117600e-02         
run_12               6.000000e+02         3.644300e-02         
run_13               8.000000e+02         8.379300e-03         
run_14               1.000000e+03         2.363400e-03         
run_15               1.250000e+03         6.000600e-04         
run_16               1.500000e+03         1.812300e-04         
run_17               1.750000e+03         6.187100e-05         
run_18               2.000000e+03         2.312500e-05         
run_19               2.500000e+03         3.941100e-06         
