#run_name            mass#55              cross                
run_20               2.000000e+02         5.073400e-02         
run_21               3.000000e+02         1.974000e-02         
run_22               3.200000e+02         1.684100e-02         
run_23               3.300000e+02         1.557400e-02         
run_24               3.400000e+02         1.445400e-02         
run_25               3.500000e+02         1.344300e-02         
run_26               3.600000e+02         1.250200e-02         
run_27               3.700000e+02         1.165000e-02         
run_28               3.800000e+02         1.088500e-02         
run_29               4.000000e+02         9.530500e-03         
run_30               5.000000e+02         5.217300e-03         
run_31               6.000000e+02         3.098400e-03         
run_32               8.000000e+02         1.282900e-03         
run_33               1.000000e+03         6.139700e-04         
run_34               1.250000e+03         2.764000e-04         
run_35               1.500000e+03         1.366300e-04         
run_36               1.750000e+03         7.243400e-05         
run_37               2.000000e+03         4.026600e-05         
run_38               2.500000e+03         1.380100e-05         
