#run_name            mass#55              cross                
run_01               2.000000e+02         3.447600e-01         
run_02               3.000000e+02         1.839600e-01         
run_03               3.200000e+02         1.753000e-01         
run_04               3.300000e+02         1.743600e-01         
run_05               3.400000e+02         1.773400e-01         
run_06               3.500000e+02         1.896900e-01         
run_07               3.600000e+02         1.970100e-01         
run_08               3.700000e+02         1.973700e-01         
run_09               3.800000e+02         1.935500e-01         
run_10               4.000000e+02         1.781000e-01         
run_11               5.000000e+02         8.705800e-02         
run_12               6.000000e+02         3.924400e-02         
run_13               8.000000e+02         9.092500e-03         
run_14               1.000000e+03         2.583200e-03         
run_15               1.250000e+03         6.617000e-04         
run_16               1.500000e+03         2.016100e-04         
run_17               1.750000e+03         6.945700e-05         
run_18               2.000000e+03         2.620300e-05         
run_19               2.500000e+03         4.555900e-06         
